@relation 'DNC Dataset Android 0511-0911 - Training Set-weka.filters.unsupervised.attribute.Remove-R4-9,18-weka.filters.unsupervised.attribute.Remove-R1'

@attribute 'Cohort Size' numeric
@attribute 'Day 1' numeric
@attribute CrashesANRDay1 numeric
@attribute DailyAverageRating numeric
@attribute LevelFailedEvents numeric
@attribute LevelSuccessEvents numeric
@attribute LevelPlayedEvents numeric
@attribute Sessions numeric
@attribute MKTExpenses numeric
@attribute TotalPurchases numeric
@attribute ActiveUsersDay7 numeric
@attribute AvgSessionSeconds numeric
@attribute MedianSessionSeconds numeric

@data
140,44.29,1,4.2,3646,2282,5928,2991,41.25,0,954,399,289
166,42.17,2,3.67,3404,2336,5740,2885,50,0,928,399,272
107,43.93,0,4.33,3754,2402,6156,2984,42.03,0,885,446,330
159,44.65,0,5,3545,2490,6036,3091,50.56,0,2070,411,281
183,41.53,3,4.79,3627,2650,6278,3362,48.69,0,2222,385,268
214,43.46,4,4.74,3927,2749,6677,3547,49.67,0,2537,385,259
181,39.23,13,4.92,3744,2599,6344,3088,48.33,0,2632,417,304
183,39.34,10,4.91,3716,2786,6504,3706,43.84,0,2344,373,248
173,40.46,5,4.4,3553,2350,5906,3418,39.53,1,2124,361,232
170,37.65,0,4.5,3235,2119,5365,3095,38.68,1,2073,379,236
1308,35.86,12,4.72,5925,7996,13928,6948,573.23,0,2135,356,240
1027,35.05,3,4.73,6679,8378,15067,7524,435.93,7,2174,369,254
1139,35.73,5,4.68,7767,9338,17110,8540,438.02,13,2264,369,249
1076,36.71,2,4.46,7589,9038,16662,8285,443.24,31,2171,388,274
630,35.08,5,4.7,8054,8288,16363,7882,325.25,10,1953,403,288
483,37.27,0,4.71,7439,6784,14251,7266,100.07,15,1897,383,266
528,35.42,3,4.68,6849,6322,13198,6939,100,9,1833,390,244
632,35.44,1,4.67,6739,6970,13746,7143,150,8,1766,392,251
561,35.29,1,4.8,7114,6957,14110,7469,150,10,1744,380,255
608,40.3,2,4.95,6870,7148,14046,7718,150,30,1708,396,243
538,36.25,4,4.27,6462,6815,13314,7108,150,14,1632,373,251
432,34.72,0,4.4,6329,5865,12226,6721,300,14,1648,375,226
373,34.05,2,4.71,6122,5269,11425,6088,150,17,1598,395,269
390,35.9,2,4.95,5882,5308,11227,6163,150,19,1559,376,247
359,33.15,0,4.86,5253,4941,10222,5422,150,10,1527,393,265
343,32.36,2,5,4955,4453,9439,5197,150,18,1511,408,267
329,34.04,0,4.69,5185,4603,9804,5059,150,14,1542,445,298
322,39.44,2,4.46,4868,4362,9258,4612,150,17,1481,457,310
331,39.58,2,4.62,4703,4257,8978,4659,150,9,1485,457,313
281,38.08,0,4.89,4408,4266,8689,4996,150,12,1498,421,220
323,32.2,0,4.92,4439,4179,8644,4224,165,6,1399,516,356
308,33.44,0,4.8,4004,3842,7861,4092,152.41,5,1474,462,321
282,36.52,0,5,3969,3745,7742,4027,121.02,5,1414,458,306
304,34.87,0,5,4264,3978,8272,4149,90,12,1457,486,346
306,36.27,1,4.3,4335,3907,8268,4263,90,4,1425,476,331
301,36.54,0,4.63,4150,3882,8055,4110,91.31,13,1372,510,325
281,31.67,0,4.44,4351,3740,8116,4378,90,14,1381,473,294
271,40.59,1,4.62,4178,3827,8022,3943,86.97,17,1416,513,353
300,39.33,0,4.83,4339,3912,8272,4139,80,13,1367,496,354
253,36.36,0,5,3740,3675,7423,3938,80,12,1364,472,341
320,35,0,4.2,3854,3943,7816,4212,80,19,1340,498,312
294,34.01,2,4.8,4143,4187,8355,4285,80,18,1336,465,308
252,34.52,0,4.88,3579,3511,7126,3659,80,7,1323,508,336
282,37.94,1,3.88,3473,3326,6818,3641,90.05,11,1303,459,316
280,35.36,3,4.78,3771,3644,7436,3903,115,13,1218,491,337
289,32.53,0,4.73,3372,3318,6713,3542,115,11,1251,478,334
301,31.56,0,5,3536,3448,7002,3508,111.25,9,1250,496,338
289,36.33,0,4.81,3398,3564,6988,3652,105,3,1234,484,320
279,35.48,0,4.8,3570,3785,7377,3608,105,4,1205,522,365
252,30.56,0,4.82,3540,3441,7001,3505,93.46,5,1273,491,335
279,35.13,1,4.42,3255,3317,6589,3386,80,11,1272,467,319
214,35.51,0,4.58,3138,3046,6217,3236,80,2,1300,503,332
275,32,2,4.29,3102,3011,6137,3393,84.58,5,1412,468,307
254,33.86,0,4.5,3327,3250,6591,3485,81.94,5,3746,488,310
