@relation 'DNC Dataset Android 0511-0911 - Training Set-weka.filters.unsupervised.attribute.Remove-R4-9,18-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-V-R1,9,11'

@attribute 'Cohort Size' numeric
@attribute MKTExpenses numeric
@attribute ActiveUsersDay7 numeric

@data
140,41.25,954
166,50,928
107,42.03,885
159,50.56,2070
183,48.69,2222
214,49.67,2537
181,48.33,2632
183,43.84,2344
173,39.53,2124
170,38.68,2073
1308,573.23,2135
1027,435.93,2174
1139,438.02,2264
1076,443.24,2171
630,325.25,1953
483,100.07,1897
528,100,1833
632,150,1766
561,150,1744
608,150,1708
538,150,1632
432,300,1648
373,150,1598
390,150,1559
359,150,1527
343,150,1511
329,150,1542
322,150,1481
331,150,1485
281,150,1498
323,165,1399
308,152.41,1474
282,121.02,1414
304,90,1457
306,90,1425
301,91.31,1372
281,90,1381
271,86.97,1416
300,80,1367
253,80,1364
320,80,1340
294,80,1336
252,80,1323
282,90.05,1303
280,115,1218
289,115,1251
301,111.25,1250
289,105,1234
279,105,1205
252,93.46,1273
279,80,1272
214,80,1300
275,84.58,1412
254,81.94,3746
265,81.96,3724
290,80,3819
304,84.67,4097
286,82.9,4291
277,80,3950
466,80,3596
2722,80,2963
1988,80,2665
1884,86.4,2422
1991,88,2233
1867,81.46,2046
1386,66.4,1996
920,67.2,1991
337,65.6,2016
297,72.8,1935
286,81.6,1776
275,92,1831
247,81.6,1769
261,76,1683
292,77.6,1690
314,71.2,1625
269,77.6,1547
265,69.6,1530
291,73.6,1538
255,69.6,1472
254,71.1,1395
248,72,1385
244,72,951
261,65.6,670
240,75.2,585
265,80.8,499
229,75.2,459
231,70.4,801
194,80,1046
33,148.21,1173
22,107.99,1205
29,116,1188
9,122.92,1208
13,69.6,1125
211,72,1188
233,64.8,1081
246,64,1067
237,69.6,1136
250,69.6,1034
255,71.2,967
209,68,999
197,55.72,913
140,6.3,937
127,8.1,896
179,7.1,922
147,7.2,883
140,13.4,768
115,7.2,750
105,0,709
105,0.8,730
100,0,756
108,0,769
100,0.9,665
73,0,665
69,0,616
78,0.9,608
78,0,643
73,0,650
111,0.9,688
71,0,688
75,0,602
49,0,592
67,0,624
82,0.9,564
69,0,603
263,80.85,1306
301,95.03,1310
313,120.34,1378
307,120.55,1476
291,109.01,1540
331,119.63,1596
301,119.38,1608
346,120.67,1673
348,120.4,1691
360,135.66,1729
406,188.59,1702
416,184.21,1822
434,184.16,1769
411,184.28,1695
437,202.52,1651
417,189.7,1604
396,190.56,1570
330,187.55,1675
405,180.51,1620
375,180.01,1620
349,179.97,1492
324,180.33,1556
266,157.06,1431
292,154.83,1427
335,180.11,1404
258,139.85,1491
285,98.51,1518
272,100.86,1422
273,103.2,1418
229,81.8,1373
220,81.6,1406
222,81.27,1356
242,81.08,1390
234,80.92,1576
233,80.9,1549
262,81.32,1525
230,81.19,1537
227,96.15,1565
237,102.14,1565
235,90.56,1455
292,90.62,1537
339,90.72,1411
294,94.89,1371
284,100.25,1304
229,91.28,1228
228,74.69,1235
164,59.97,1247
183,46.24,1278
170,52.88,1222
192,76.33,1193
123,44.32,1145
113,44.15,1131
140,42.42,1128
135,39.21,1201
149,38.46,1185
148,43.14,1014
143,41.13,1013
100,36.23,998
110,35.88,993
120,31.51,899
102,29.58,962
94,29,973
93,27.34,815
68,26.39,858
67,18.67,950
70,19.61,1022
63,17.46,1091
63,17.58,1151
72,12.85,1261
54,18.93,1210
69,15.54,1182
167,41.07,1236
168,66.32,1160
232,62.91,1253
272,71.57,1026
272,75.03,866
256,76.88,817
235,79.29,830
258,79.27,956
197,59.66,961
204,49.08,1039
60,41.13,1066
10,40.51,1071
10,37.12,1073
88,35.6,1105
162,35.45,1079
162,48.14,1079
202,44.35,1118
180,50.37,1196
210,51.56,1201
226,55.8,1182
233,60.45,1182
209,54.68,1165
192,56.42,1127
202,61.52,1110
200,62.65,1219
210,60.89,1184
212,62.26,1146
194,54.78,1078
173,60.15,1014
210,56.47,959
183,61.3,988
214,67.28,1043
231,66.48,1061
182,68.66,1001
170,62.06,947
148,54.68,963
139,49.79,961
135,49.05,962
169,48.7,952
159,50.77,1002
162,51.26,944
156,51.57,969
139,51.23,926
140,52.4,935
149,52.46,917
170,51.31,926
163,54.13,919
161,55.64,907
158,53.34,868
173,51.63,871
158,47.88,816
128,49.77,877
140,49.89,989
148,49.56,1009
147,45.7,931
