Incomplete,Date,Events,% of Events
"","2015/01/05"," 3953 "," 0.8% "
"","2015/01/06"," 4437 "," 0.9% "
"","2015/01/07"," 4495 "," 0.9% "
"","2015/01/08"," 4385 "," 0.8% "
"","2015/01/09"," 4571 "," 0.9% "
"","2015/01/10"," 5101 "," 1.0% "
"","2015/01/11"," 4347 "," 0.8% "
"","2015/01/12"," 5314 "," 1.0% "
"","2015/01/13"," 4986 "," 1.0% "
"","2015/01/14"," 5382 "," 1.0% "
"","2015/01/15"," 6805 "," 1.3% "
"","2015/01/16"," 6207 "," 1.2% "
"","2015/01/17"," 6877 "," 1.3% "
"","2015/01/18"," 7032 "," 1.4% "
"","2015/01/19"," 7691 "," 1.5% "
"","2015/01/20"," 7471 "," 1.4% "
"","2015/01/21"," 7503 "," 1.4% "
"","2015/01/22"," 7727 "," 1.5% "
"","2015/01/23"," 8543 "," 1.6% "
"","2015/01/24"," 7415 "," 1.4% "
"","2015/01/25"," 7422 "," 1.4% "
"","2015/01/26"," 7178 "," 1.4% "
"","2015/01/27"," 6502 "," 1.3% "
"","2015/01/28"," 6196 "," 1.2% "
"","2015/01/29"," 6865 "," 1.3% "
"","2015/01/30"," 5924 "," 1.1% "
"","2015/01/31"," 6010 "," 1.2% "
"","2015/02/01"," 5575 "," 1.1% "
"","2015/02/02"," 6232 "," 1.2% "
"","2015/02/03"," 5692 "," 1.1% "
"","2015/02/04"," 5274 "," 1.0% "
"","2015/02/05"," 5202 "," 1.0% "
"","2015/02/06"," 5697 "," 1.1% "
"","2015/02/07"," 5451 "," 1.0% "
"","2015/02/08"," 4937 "," 0.9% "
"","2015/02/09"," 5104 "," 1.0% "
"","2015/02/10"," 5235 "," 1.0% "
"","2015/02/11"," 4985 "," 1.0% "
"","2015/02/12"," 4977 "," 1.0% "
"","2015/02/13"," 4931 "," 0.9% "
"","2015/02/14"," 6196 "," 1.2% "
"","2015/02/15"," 6252 "," 1.2% "
"","2015/02/16"," 5931 "," 1.1% "
"","2015/02/17"," 5450 "," 1.0% "
"","2015/02/18"," 6303 "," 1.2% "
"","2015/02/19"," 5291 "," 1.0% "
"","2015/02/20"," 4863 "," 0.9% "
"","2015/02/21"," 4933 "," 0.9% "
"","2015/02/22"," 4412 "," 0.8% "
"","2015/02/23"," 4343 "," 0.8% "
"","2015/02/24"," 4005 "," 0.8% "
"","2015/02/25"," 3784 "," 0.7% "
"","2015/02/26"," 4113 "," 0.8% "
"","2015/02/27"," 4008 "," 0.8% "
"","2015/02/28"," 3557 "," 0.7% "
"","2015/03/01"," 3345 "," 0.6% "
"","2015/03/02"," 3430 "," 0.7% "
"","2015/03/03"," 3321 "," 0.6% "
"","2015/03/04"," 3267 "," 0.6% "
"","2015/03/05"," 3296 "," 0.6% "
"","2015/03/06"," 3318 "," 0.6% "
"","2015/03/07"," 3429 "," 0.7% "
"","2015/03/08"," 2738 "," 0.5% "
"","2015/03/09"," 2603 "," 0.5% "
"","2015/03/10"," 2618 "," 0.5% "
"","2015/03/11"," 2642 "," 0.5% "
"","2015/03/12"," 2099 "," 0.4% "
"","2015/03/13"," 2379 "," 0.5% "
"","2015/03/14"," 2253 "," 0.4% "
"","2015/03/15"," 2006 "," 0.4% "
"","2015/03/16"," 1999 "," 0.4% "
"","2015/03/17"," 2456 "," 0.5% "
"","2015/03/18"," 2804 "," 0.5% "
"","2015/03/19"," 3286 "," 0.6% "
"","2015/03/20"," 3573 "," 0.7% "
"","2015/03/21"," 4544 "," 0.9% "
"","2015/03/22"," 4236 "," 0.8% "
"","2015/03/23"," 3990 "," 0.8% "
"","2015/03/24"," 4209 "," 0.8% "
"","2015/03/25"," 3956 "," 0.8% "
"","2015/03/26"," 4184 "," 0.8% "
"","2015/03/27"," 2831 "," 0.5% "
"","2015/03/28"," 1948 "," 0.4% "
"","2015/03/29"," 1866 "," 0.4% "
"","2015/03/30"," 1984 "," 0.4% "
"","2015/03/31"," 2511 "," 0.5% "
"","2015/04/01"," 2598 "," 0.5% "
"","2015/04/02"," 2955 "," 0.6% "
"","2015/04/03"," 2656 "," 0.5% "
"","2015/04/04"," 3265 "," 0.6% "
"","2015/04/05"," 2949 "," 0.6% "
"","2015/04/06"," 3113 "," 0.6% "
"","2015/04/07"," 3254 "," 0.6% "
"","2015/04/08"," 3035 "," 0.6% "
"","2015/04/09"," 3221 "," 0.6% "
"","2015/04/10"," 3474 "," 0.7% "
"","2015/04/11"," 3480 "," 0.7% "
"","2015/04/12"," 3549 "," 0.7% "
"","2015/04/13"," 3153 "," 0.6% "
"","2015/04/14"," 3203 "," 0.6% "
"","2015/04/15"," 3163 "," 0.6% "
"","2015/04/16"," 3417 "," 0.7% "
"","2015/04/17"," 3345 "," 0.6% "
"","2015/04/18"," 3951 "," 0.8% "
"","2015/04/19"," 3270 "," 0.6% "
"","2015/04/20"," 2797 "," 0.5% "
"","2015/04/21"," 2672 "," 0.5% "
"","2015/04/22"," 2671 "," 0.5% "
"","2015/04/23"," 2483 "," 0.5% "
"","2015/04/24"," 3365 "," 0.6% "
"","2015/04/25"," 3144 "," 0.6% "
"","2015/04/26"," 2489 "," 0.5% "
"","2015/04/27"," 2784 "," 0.5% "
"","2015/04/28"," 2739 "," 0.5% "
"","2015/04/29"," 2679 "," 0.5% "
"","2015/04/30"," 2551 "," 0.5% "
"","2015/05/01"," 2470 "," 0.5% "
"","2015/05/02"," 2931 "," 0.6% "
"","2015/05/03"," 2530 "," 0.5% "
"","2015/05/04"," 2928 "," 0.6% "
"","2015/05/05"," 2542 "," 0.5% "
"","2015/05/06"," 2730 "," 0.5% "
"","2015/05/07"," 2451 "," 0.5% "
"","2015/05/08"," 2568 "," 0.5% "
"","2015/05/09"," 2774 "," 0.5% "
"","2015/05/10"," 2434 "," 0.5% "
