Incomplete,Date,Events,% of Events
"","2015/01/05"," 3268 "," 0.6% "
"","2015/01/06"," 3790 "," 0.6% "
"","2015/01/07"," 3828 "," 0.7% "
"","2015/01/08"," 3741 "," 0.6% "
"","2015/01/09"," 3848 "," 0.7% "
"","2015/01/10"," 4160 "," 0.7% "
"","2015/01/11"," 3661 "," 0.6% "
"","2015/01/12"," 3915 "," 0.7% "
"","2015/01/13"," 3728 "," 0.6% "
"","2015/01/14"," 3630 "," 0.6% "
"","2015/01/15"," 4217 "," 0.7% "
"","2015/01/16"," 4277 "," 0.7% "
"","2015/01/17"," 4690 "," 0.8% "
"","2015/01/18"," 4915 "," 0.8% "
"","2015/01/19"," 5448 "," 0.9% "
"","2015/01/20"," 5292 "," 0.9% "
"","2015/01/21"," 6065 "," 1.0% "
"","2015/01/22"," 5928 "," 1.0% "
"","2015/01/23"," 6353 "," 1.1% "
"","2015/01/24"," 5899 "," 1.0% "
"","2015/01/25"," 6057 "," 1.0% "
"","2015/01/26"," 6198 "," 1.1% "
"","2015/01/27"," 5895 "," 1.0% "
"","2015/01/28"," 5604 "," 1.0% "
"","2015/01/29"," 6232 "," 1.1% "
"","2015/01/30"," 5883 "," 1.0% "
"","2015/01/31"," 5403 "," 0.9% "
"","2015/02/01"," 4795 "," 0.8% "
"","2015/02/02"," 5420 "," 0.9% "
"","2015/02/03"," 5188 "," 0.9% "
"","2015/02/04"," 5160 "," 0.9% "
"","2015/02/05"," 4867 "," 0.8% "
"","2015/02/06"," 5313 "," 0.9% "
"","2015/02/07"," 5404 "," 0.9% "
"","2015/02/08"," 4732 "," 0.8% "
"","2015/02/09"," 4601 "," 0.8% "
"","2015/02/10"," 5041 "," 0.9% "
"","2015/02/11"," 4833 "," 0.8% "
"","2015/02/12"," 4461 "," 0.8% "
"","2015/02/13"," 4841 "," 0.8% "
"","2015/02/14"," 6126 "," 1.0% "
"","2015/02/15"," 6102 "," 1.0% "
"","2015/02/16"," 5839 "," 1.0% "
"","2015/02/17"," 6022 "," 1.0% "
"","2015/02/18"," 6945 "," 1.2% "
"","2015/02/19"," 6321 "," 1.1% "
"","2015/02/20"," 6648 "," 1.1% "
"","2015/02/21"," 6400 "," 1.1% "
"","2015/02/22"," 5968 "," 1.0% "
"","2015/02/23"," 5819 "," 1.0% "
"","2015/02/24"," 5873 "," 1.0% "
"","2015/02/25"," 5483 "," 0.9% "
"","2015/02/26"," 5783 "," 1.0% "
"","2015/02/27"," 5797 "," 1.0% "
"","2015/02/28"," 4888 "," 0.8% "
"","2015/03/01"," 5023 "," 0.9% "
"","2015/03/02"," 5192 "," 0.9% "
"","2015/03/03"," 5060 "," 0.9% "
"","2015/03/04"," 4856 "," 0.8% "
"","2015/03/05"," 4942 "," 0.8% "
"","2015/03/06"," 5443 "," 0.9% "
"","2015/03/07"," 5315 "," 0.9% "
"","2015/03/08"," 4227 "," 0.7% "
"","2015/03/09"," 4472 "," 0.8% "
"","2015/03/10"," 4433 "," 0.8% "
"","2015/03/11"," 4346 "," 0.7% "
"","2015/03/12"," 3920 "," 0.7% "
"","2015/03/13"," 4303 "," 0.7% "
"","2015/03/14"," 4184 "," 0.7% "
"","2015/03/15"," 3199 "," 0.5% "
"","2015/03/16"," 3203 "," 0.5% "
"","2015/03/17"," 3711 "," 0.6% "
"","2015/03/18"," 4004 "," 0.7% "
"","2015/03/19"," 4210 "," 0.7% "
"","2015/03/20"," 4374 "," 0.7% "
"","2015/03/21"," 5288 "," 0.9% "
"","2015/03/22"," 4805 "," 0.8% "
"","2015/03/23"," 4675 "," 0.8% "
"","2015/03/24"," 4926 "," 0.8% "
"","2015/03/25"," 5081 "," 0.9% "
"","2015/03/26"," 5332 "," 0.9% "
"","2015/03/27"," 4348 "," 0.7% "
"","2015/03/28"," 3744 "," 0.6% "
"","2015/03/29"," 3462 "," 0.6% "
"","2015/03/30"," 3059 "," 0.5% "
"","2015/03/31"," 3374 "," 0.6% "
"","2015/04/01"," 3522 "," 0.6% "
"","2015/04/02"," 3468 "," 0.6% "
"","2015/04/03"," 3607 "," 0.6% "
"","2015/04/04"," 4166 "," 0.7% "
"","2015/04/05"," 3837 "," 0.7% "
"","2015/04/06"," 3732 "," 0.6% "
"","2015/04/07"," 3768 "," 0.6% "
"","2015/04/08"," 3958 "," 0.7% "
"","2015/04/09"," 4111 "," 0.7% "
"","2015/04/10"," 4368 "," 0.7% "
"","2015/04/11"," 4466 "," 0.8% "
"","2015/04/12"," 4232 "," 0.7% "
"","2015/04/13"," 4546 "," 0.8% "
"","2015/04/14"," 4874 "," 0.8% "
"","2015/04/15"," 4407 "," 0.8% "
"","2015/04/16"," 4507 "," 0.8% "
"","2015/04/17"," 4907 "," 0.8% "
"","2015/04/18"," 5434 "," 0.9% "
"","2015/04/19"," 4534 "," 0.8% "
"","2015/04/20"," 4133 "," 0.7% "
"","2015/04/21"," 3757 "," 0.6% "
"","2015/04/22"," 3692 "," 0.6% "
"","2015/04/23"," 3805 "," 0.7% "
"","2015/04/24"," 4656 "," 0.8% "
"","2015/04/25"," 4421 "," 0.8% "
"","2015/04/26"," 3526 "," 0.6% "
"","2015/04/27"," 3776 "," 0.6% "
"","2015/04/28"," 4202 "," 0.7% "
"","2015/04/29"," 3903 "," 0.7% "
"","2015/04/30"," 3819 "," 0.7% "
"","2015/05/01"," 3586 "," 0.6% "
"","2015/05/02"," 3881 "," 0.7% "
"","2015/05/03"," 3622 "," 0.6% "
"","2015/05/04"," 4116 "," 0.7% "
"","2015/05/05"," 3312 "," 0.6% "
"","2015/05/06"," 3657 "," 0.6% "
"","2015/05/07"," 3377 "," 0.6% "
"","2015/05/08"," 3612 "," 0.6% "
"","2015/05/09"," 3716 "," 0.6% "
"","2015/05/10"," 3985 "," 0.7% "
