Incomplete,Date,Events,% of Events
"","2015/01/05"," 7221 "," 0.7% "
"","2015/01/06"," 8227 "," 0.7% "
"","2015/01/07"," 8323 "," 0.8% "
"","2015/01/08"," 8126 "," 0.7% "
"","2015/01/09"," 8419 "," 0.8% "
"","2015/01/10"," 9261 "," 0.8% "
"","2015/01/11"," 8008 "," 0.7% "
"","2015/01/12"," 9229 "," 0.8% "
"","2015/01/13"," 8714 "," 0.8% "
"","2015/01/14"," 9012 "," 0.8% "
"","2015/01/15"," 11022 "," 1.0% "
"","2015/01/16"," 10484 "," 0.9% "
"","2015/01/17"," 11567 "," 1.0% "
"","2015/01/18"," 11947 "," 1.1% "
"","2015/01/19"," 13139 "," 1.2% "
"","2015/01/20"," 12763 "," 1.2% "
"","2015/01/21"," 13568 "," 1.2% "
"","2015/01/22"," 13655 "," 1.2% "
"","2015/01/23"," 14896 "," 1.3% "
"","2015/01/24"," 13314 "," 1.2% "
"","2015/01/25"," 13480 "," 1.2% "
"","2015/01/26"," 13376 "," 1.2% "
"","2015/01/27"," 12397 "," 1.1% "
"","2015/01/28"," 11800 "," 1.1% "
"","2015/01/29"," 13097 "," 1.2% "
"","2015/01/30"," 11807 "," 1.1% "
"","2015/01/31"," 11413 "," 1.0% "
"","2015/02/01"," 10370 "," 0.9% "
"","2015/02/02"," 11652 "," 1.1% "
"","2015/02/03"," 10880 "," 1.0% "
"","2015/02/04"," 10434 "," 0.9% "
"","2015/02/05"," 10069 "," 0.9% "
"","2015/02/06"," 11010 "," 1.0% "
"","2015/02/07"," 10855 "," 1.0% "
"","2015/02/08"," 9669 "," 0.9% "
"","2015/02/09"," 9705 "," 0.9% "
"","2015/02/10"," 10277 "," 0.9% "
"","2015/02/11"," 9822 "," 0.9% "
"","2015/02/12"," 9438 "," 0.9% "
"","2015/02/13"," 9772 "," 0.9% "
"","2015/02/14"," 12322 "," 1.1% "
"","2015/02/15"," 12354 "," 1.1% "
"","2015/02/16"," 11770 "," 1.1% "
"","2015/02/17"," 11472 "," 1.0% "
"","2015/02/18"," 13248 "," 1.2% "
"","2015/02/19"," 11612 "," 1.1% "
"","2015/02/20"," 11512 "," 1.0% "
"","2015/02/21"," 11333 "," 1.0% "
"","2015/02/22"," 10380 "," 0.9% "
"","2015/02/23"," 10163 "," 0.9% "
"","2015/02/24"," 9878 "," 0.9% "
"","2015/02/25"," 9267 "," 0.8% "
"","2015/02/26"," 9896 "," 0.9% "
"","2015/02/27"," 9805 "," 0.9% "
"","2015/02/28"," 8445 "," 0.8% "
"","2015/03/01"," 8368 "," 0.8% "
"","2015/03/02"," 8622 "," 0.8% "
"","2015/03/03"," 8381 "," 0.8% "
"","2015/03/04"," 8123 "," 0.7% "
"","2015/03/05"," 8238 "," 0.7% "
"","2015/03/06"," 8761 "," 0.8% "
"","2015/03/07"," 8744 "," 0.8% "
"","2015/03/08"," 6965 "," 0.6% "
"","2015/03/09"," 7076 "," 0.6% "
"","2015/03/10"," 7051 "," 0.6% "
"","2015/03/11"," 6989 "," 0.6% "
"","2015/03/12"," 6019 "," 0.5% "
"","2015/03/13"," 6682 "," 0.6% "
"","2015/03/14"," 6437 "," 0.6% "
"","2015/03/15"," 5205 "," 0.5% "
"","2015/03/16"," 5202 "," 0.5% "
"","2015/03/17"," 6168 "," 0.6% "
"","2015/03/18"," 6808 "," 0.6% "
"","2015/03/19"," 7496 "," 0.7% "
"","2015/03/20"," 7947 "," 0.7% "
"","2015/03/21"," 9832 "," 0.9% "
"","2015/03/22"," 9041 "," 0.8% "
"","2015/03/23"," 8665 "," 0.8% "
"","2015/03/24"," 9136 "," 0.8% "
"","2015/03/25"," 9037 "," 0.8% "
"","2015/03/26"," 9516 "," 0.9% "
"","2015/03/27"," 7179 "," 0.7% "
"","2015/03/28"," 5692 "," 0.5% "
"","2015/03/29"," 5328 "," 0.5% "
"","2015/03/30"," 5043 "," 0.5% "
"","2015/03/31"," 5885 "," 0.5% "
"","2015/04/01"," 6120 "," 0.6% "
"","2015/04/02"," 6423 "," 0.6% "
"","2015/04/03"," 6263 "," 0.6% "
"","2015/04/04"," 7432 "," 0.7% "
"","2015/04/05"," 6786 "," 0.6% "
"","2015/04/06"," 6845 "," 0.6% "
"","2015/04/07"," 7022 "," 0.6% "
"","2015/04/08"," 6993 "," 0.6% "
"","2015/04/09"," 7332 "," 0.7% "
"","2015/04/10"," 7842 "," 0.7% "
"","2015/04/11"," 7946 "," 0.7% "
"","2015/04/12"," 7781 "," 0.7% "
"","2015/04/13"," 7699 "," 0.7% "
"","2015/04/14"," 8078 "," 0.7% "
"","2015/04/15"," 7570 "," 0.7% "
"","2015/04/16"," 7924 "," 0.7% "
"","2015/04/17"," 8253 "," 0.7% "
"","2015/04/18"," 9385 "," 0.9% "
"","2015/04/19"," 7804 "," 0.7% "
"","2015/04/20"," 6930 "," 0.6% "
"","2015/04/21"," 6429 "," 0.6% "
"","2015/04/22"," 6363 "," 0.6% "
"","2015/04/23"," 6288 "," 0.6% "
"","2015/04/24"," 8021 "," 0.7% "
"","2015/04/25"," 7565 "," 0.7% "
"","2015/04/26"," 6015 "," 0.5% "
"","2015/04/27"," 6560 "," 0.6% "
"","2015/04/28"," 6941 "," 0.6% "
"","2015/04/29"," 6582 "," 0.6% "
"","2015/04/30"," 6370 "," 0.6% "
"","2015/05/01"," 6056 "," 0.5% "
"","2015/05/02"," 6812 "," 0.6% "
"","2015/05/03"," 6152 "," 0.6% "
"","2015/05/04"," 7044 "," 0.6% "
"","2015/05/05"," 5854 "," 0.5% "
"","2015/05/06"," 6387 "," 0.6% "
"","2015/05/07"," 5828 "," 0.5% "
"","2015/05/08"," 6180 "," 0.6% "
"","2015/05/09"," 6491 "," 0.6% "
"","2015/05/10"," 6419 "," 0.6% "
