Incomplete,Date,Active Users,% of Active Users
"","2015/05/10 00:00"," 907 "," 0.6% "
"","2015/05/09 00:00"," 919 "," 0.6% "
"","2015/05/08 00:00"," 926 "," 0.6% "
"","2015/05/07 00:00"," 917 "," 0.6% "
"","2015/05/06 00:00"," 935 "," 0.6% "
"","2015/05/05 00:00"," 926 "," 0.6% "
"","2015/05/04 00:00"," 969 "," 0.6% "
"","2015/05/03 00:00"," 944 "," 0.6% "
"","2015/05/02 00:00"," 1002 "," 0.6% "
"","2015/05/01 00:00"," 952 "," 0.6% "
"","2015/04/30 00:00"," 962 "," 0.6% "
"","2015/04/29 00:00"," 961 "," 0.6% "
"","2015/04/28 00:00"," 963 "," 0.6% "
"","2015/04/27 00:00"," 947 "," 0.6% "
"","2015/04/26 00:00"," 1001 "," 0.6% "
"","2015/04/25 00:00"," 1061 "," 0.7% "
"","2015/04/24 00:00"," 1043 "," 0.7% "
"","2015/04/23 00:00"," 988 "," 0.6% "
"","2015/04/22 00:00"," 959 "," 0.6% "
"","2015/04/21 00:00"," 1014 "," 0.7% "
"","2015/04/20 00:00"," 1078 "," 0.7% "
"","2015/04/19 00:00"," 1146 "," 0.7% "
"","2015/04/18 00:00"," 1184 "," 0.8% "
"","2015/04/17 00:00"," 1219 "," 0.8% "
"","2015/04/16 00:00"," 1110 "," 0.7% "
"","2015/04/15 00:00"," 1127 "," 0.7% "
"","2015/04/14 00:00"," 1165 "," 0.8% "
"","2015/04/13 00:00"," 1182 "," 0.8% "
"","2015/04/12 00:00"," 1182 "," 0.8% "
"","2015/04/11 00:00"," 1201 "," 0.8% "
"","2015/04/10 00:00"," 1196 "," 0.8% "
"","2015/04/09 00:00"," 1118 "," 0.7% "
"","2015/04/08 00:00"," 1079 "," 0.7% "
"","2015/04/07 00:00"," 1079 "," 0.7% "
"","2015/04/06 00:00"," 1105 "," 0.7% "
"","2015/04/05 00:00"," 1073 "," 0.7% "
"","2015/04/04 00:00"," 1071 "," 0.7% "
"","2015/04/03 00:00"," 1066 "," 0.7% "
"","2015/04/02 00:00"," 1039 "," 0.7% "
"","2015/04/01 00:00"," 961 "," 0.6% "
"","2015/03/31 00:00"," 956 "," 0.6% "
"","2015/03/30 00:00"," 830 "," 0.5% "
"","2015/03/29 00:00"," 817 "," 0.5% "
"","2015/03/28 00:00"," 866 "," 0.6% "
"","2015/03/27 00:00"," 1026 "," 0.7% "
"","2015/03/26 00:00"," 1253 "," 0.8% "
"","2015/03/25 00:00"," 1160 "," 0.7% "
"","2015/03/24 00:00"," 1236 "," 0.8% "
"","2015/03/23 00:00"," 1182 "," 0.8% "
"","2015/03/22 00:00"," 1210 "," 0.8% "
"","2015/03/21 00:00"," 1261 "," 0.8% "
