Date,Median Session Length,Total Time Spent in App,Avg Session Length
" 05/10/15 ","5 min 19 sec","14 dy 1 hr 7 min 53 sec","7 min 4 sec"
" 05/09/15 ","4 min 49 sec","13 dy 23 hr 42 min 7 sec","6 min 56 sec"
" 05/08/15 ","4 min 16 sec","13 dy 2 hr 49 min 59 sec","6 min 33 sec"
" 05/07/15 ","4 min 16 sec","13 dy 15 hr 44 min 3 sec","7 min 2 sec"
" 05/06/15 ","5 min 2 sec","13 dy 15 hr 28 min 35 sec","7 min 16 sec"
" 05/05/15 ","4 min 38 sec","12 dy 7 hr 27 min 24 sec","6 min 44 sec"
" 05/04/15 ","5 min 6 sec","14 dy 19 hr 35 min 5 sec","7 min 9 sec"
" 05/03/15 ","5 min 9 sec","13 dy 2 hr 20 sec","7 min 6 sec"
" 05/02/15 ","4 min 42 sec","14 dy 18 hr 5 min 10 sec","6 min 55 sec"
" 05/01/15 ","4 min 48 sec","13 dy 16 hr 30 min 38 sec","6 min 57 sec"
" 04/30/15 ","4 min 24 sec","14 dy 9 hr 46 min 41 sec","6 min 35 sec"
" 04/29/15 ","4 min 36 sec","14 dy 12 hr 15 min 33 sec","6 min 46 sec"
" 04/28/15 ","4 min 23 sec","15 dy 14 hr 41 min 45 sec","6 min 46 sec"
" 04/27/15 ","4 min 42 sec","14 dy 1 hr 52 min 26 sec","6 min 51 sec"
" 04/26/15 ","4 min 45 sec","13 dy 9 hr 20 min 10 sec","6 min 49 sec"
" 04/25/15 ","4 min 38 sec","16 dy 19 hr 20 min 50 sec","6 min 50 sec"
" 04/24/15 ","4 min 50 sec","17 dy 14 hr 11 min 43 sec","6 min 56 sec"
" 04/23/15 ","4 min 43 sec","14 dy 2 hr 43 min 16 sec","6 min 59 sec"
" 04/22/15 ","4 min 29 sec","14 dy 2 hr 17 min 22 sec","6 min 53 sec"
" 04/21/15 ","4 min 14 sec","14 dy 1 hr 49 min 39 sec","6 min 27 sec"
" 04/20/15 ","4 min 18 sec","15 dy 12 hr 6 min 33 sec","6 min 37 sec"
" 04/19/15 ","4 min 48 sec","16 dy 23 hr 13 min 38 sec","6 min 53 sec"
" 04/18/15 ","5 min 20 sec","20 dy 14 hr 36 min 43 sec","7 min 30 sec"
" 04/17/15 ","4 min 52 sec","18 dy 6 hr 15 min 33 sec","6 min 58 sec"
" 04/16/15 ","5 min 10 sec","17 dy 5 hr 57 min 33 sec","7 min 10 sec"
" 04/15/15 ","5 min 4 sec","16 dy 8 hr 38 min 57 sec","6 min 59 sec"
" 04/14/15 ","5 min 4 sec","17 dy 19 hr 9 min 54 sec","7 min 1 sec"
" 04/13/15 ","5 min 5 sec","16 dy 14 hr 12 min 53 sec","7 min 9 sec"
" 04/12/15 ","4 min 34 sec","16 dy 23 hr 14 min 37 sec","6 min 58 sec"
" 04/11/15 ","4 min 28 sec","17 dy 5 hr 7 min 39 sec","6 min 45 sec"
" 04/10/15 ","4 min 21 sec","17 dy 5 hr 41 min 34 sec","6 min 47 sec"
" 04/09/15 ","4 min 33 sec","15 dy 20 hr 51 min 33 sec","6 min 36 sec"
" 04/08/15 ","4 min 46 sec","15 dy 8 hr 48 min 6 sec","6 min 52 sec"
" 04/07/15 ","4 min 49 sec","15 dy 6 hr 49 min 41 sec","6 min 58 sec"
