"",,Days Since Install
Install Date,Cohort Size,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
05/10/15,147.0,40.82%,28.57%,22.45%,19.73%,20.41%,14.29%,14.29%,12.24%,14.29%,10.88%,11.56%,12.24%,9.52%,10.88%,10.2%,7.48%,9.52%,8.16%,13.61%,10.88%,7.48%,4.08%,4.76%,5.44%,4.08%,4.76%,1.36%,3.4%,2.72%
05/09/15,148.0,38.51%,25.68%,19.59%,15.54%,18.24%,12.84%,12.16%,8.78%,6.08%,5.41%,10.14%,8.11%,6.76%,6.08%,6.76%,6.08%,2.7%,2.7%,2.03%,4.05%,4.73%,2.03%,2.7%,2.03%,4.05%,2.7%,3.38%,5.41%,3.38%
05/08/15,140.0,39.29%,26.43%,30%,22.86%,15%,12.86%,10.71%,8.57%,7.86%,8.57%,8.57%,6.43%,5.71%,7.14%,7.14%,6.43%,7.86%,3.57%,3.57%,5%,4.29%,5%,4.29%,6.43%,4.29%,4.29%,3.57%,5%,5.71%
05/07/15,128.0,41.41%,30.47%,27.34%,28.12%,23.44%,17.19%,19.53%,21.09%,14.84%,14.06%,12.5%,14.06%,13.28%,11.72%,7.03%,10.94%,10.94%,7.03%,9.38%,9.38%,7.81%,9.38%,4.69%,7.03%,5.47%,7.81%,6.25%,5.47%,6.25%
05/06/15,158.0,48.73%,29.75%,23.42%,13.92%,14.56%,12.66%,10.76%,11.39%,10.76%,12.03%,8.23%,8.23%,9.49%,6.96%,11.39%,8.23%,6.33%,7.59%,9.49%,3.8%,3.16%,6.96%,5.06%,5.06%,3.8%,5.06%,5.06%,2.53%,5.7%
05/05/15,173.0,41.04%,30.06%,27.75%,25.43%,18.5%,10.4%,13.87%,10.4%,9.25%,9.83%,10.98%,8.09%,9.83%,9.25%,6.36%,7.51%,9.25%,8.09%,5.2%,6.36%,6.94%,5.78%,5.2%,5.2%,5.2%,4.62%,4.05%,4.62%,3.47%
05/04/15,158.0,41.14%,32.28%,24.05%,18.99%,13.92%,15.19%,12.66%,10.76%,10.76%,8.86%,12.03%,6.96%,9.49%,7.59%,5.06%,6.96%,4.43%,4.43%,3.8%,5.06%,4.43%,3.16%,4.43%,5.7%,3.8%,4.43%,4.43%,1.9%,3.16%
05/03/15,161.0,43.48%,23.6%,20.5%,18.63%,17.39%,13.04%,12.42%,9.94%,11.18%,7.45%,8.07%,11.18%,9.94%,9.94%,4.97%,6.83%,4.97%,6.21%,5.59%,5.59%,4.97%,6.83%,4.97%,6.83%,4.35%,5.59%,4.35%,4.35%,1.24%
05/02/15,163.0,40.49%,25.77%,20.86%,14.11%,13.5%,14.11%,10.43%,11.66%,7.36%,7.36%,6.75%,6.75%,5.52%,4.29%,3.68%,6.13%,5.52%,5.52%,3.68%,6.13%,7.36%,4.91%,2.45%,1.84%,3.07%,1.84%,3.07%,3.07%,4.29%
05/01/15,170.0,41.18%,25.29%,24.71%,21.18%,23.53%,21.18%,14.12%,10.59%,11.18%,13.53%,10%,11.76%,7.65%,11.18%,8.24%,8.24%,4.12%,7.65%,7.06%,8.24%,5.29%,5.29%,4.71%,2.94%,3.53%,2.35%,2.94%,5.29%,6.47%
04/30/15,149.0,28.86%,24.16%,24.16%,18.79%,20.13%,17.45%,10.74%,11.41%,9.4%,10.74%,11.41%,9.4%,6.71%,5.37%,9.4%,7.38%,4.7%,5.37%,4.7%,2.68%,5.37%,5.37%,4.7%,4.7%,4.03%,3.36%,4.03%,3.36%,6.04%
04/29/15,140.0,50.71%,31.43%,25%,25%,20.71%,17.14%,16.43%,14.29%,13.57%,15.71%,13.57%,12.14%,10%,8.57%,9.29%,10.71%,10.71%,9.29%,10.71%,5.71%,3.57%,5%,8.57%,7.14%,5.71%,5%,3.57%,5%,5%
04/28/15,139.0,43.17%,25.18%,25.18%,20.14%,16.55%,12.95%,14.39%,9.35%,5.76%,8.63%,8.63%,3.6%,5.04%,5.76%,2.88%,3.6%,4.32%,4.32%,3.6%,2.88%,3.6%,5.76%,4.32%,3.6%,5.04%,1.44%,2.16%,2.16%,2.16%
04/27/15,156.0,42.95%,28.21%,21.79%,16.67%,17.95%,12.82%,12.18%,11.54%,9.62%,10.26%,8.97%,9.62%,9.62%,7.05%,3.85%,5.13%,2.56%,2.56%,3.85%,2.56%,2.56%,1.28%,1.28%,1.28%,0.64%,1.92%,2.56%,1.92%,2.56%
04/26/15,162.0,37.65%,27.16%,20.99%,18.52%,12.96%,13.58%,8.64%,9.26%,6.17%,6.79%,6.79%,6.79%,4.94%,7.41%,6.79%,5.56%,4.32%,3.7%,5.56%,4.94%,4.32%,5.56%,1.23%,3.7%,3.7%,1.85%,4.32%,2.47%,3.7%
04/25/15,159.0,41.51%,27.67%,25.16%,16.35%,17.61%,16.98%,12.58%,11.32%,13.21%,10.69%,10.06%,11.95%,8.18%,10.69%,6.92%,6.29%,8.18%,4.4%,6.29%,8.81%,6.29%,4.4%,3.77%,1.89%,4.4%,4.4%,5.66%,6.29%,3.14%
04/24/15,169.0,46.75%,26.63%,18.93%,21.89%,16.57%,14.2%,12.43%,11.83%,10.06%,12.43%,7.1%,4.14%,6.51%,3.55%,5.92%,8.88%,6.51%,4.14%,6.51%,4.73%,6.51%,5.33%,4.73%,2.96%,2.37%,4.73%,1.78%,3.55%,2.96%
04/23/15,135.0,38.52%,30.37%,28.15%,23.7%,22.96%,20%,16.3%,17.04%,13.33%,14.07%,17.04%,12.59%,8.89%,15.56%,10.37%,8.15%,6.67%,6.67%,6.67%,6.67%,4.44%,4.44%,5.19%,4.44%,3.7%,3.7%,2.96%,5.19%,3.7%
04/22/15,139.0,47.48%,35.97%,27.34%,22.3%,20.14%,20.86%,19.42%,17.27%,12.23%,7.91%,7.19%,9.35%,6.47%,7.91%,5.76%,7.19%,5.76%,7.91%,2.88%,4.32%,4.32%,0.72%,0%,2.88%,5.04%,2.16%,2.88%,5.04%,2.88%
04/21/15,148.0,43.92%,33.11%,25.68%,25%,21.62%,18.24%,20.27%,18.92%,18.92%,14.86%,16.22%,15.54%,14.86%,9.46%,12.84%,8.11%,10.81%,8.78%,8.11%,6.76%,7.43%,7.43%,5.41%,6.76%,8.11%,10.14%,8.11%,7.43%,6.76%
04/20/15,170.0,44.71%,28.24%,28.82%,24.12%,21.76%,18.24%,15.88%,12.94%,15.88%,12.35%,13.53%,11.18%,7.06%,10%,8.24%,7.06%,5.88%,4.71%,6.47%,6.47%,5.88%,2.35%,7.06%,2.94%,5.29%,2.94%,5.29%,5.88%,2.94%
04/19/15,182.0,42.86%,28.02%,20.33%,17.03%,15.93%,15.38%,11.54%,11.54%,8.24%,10.44%,7.14%,8.79%,9.34%,7.14%,6.59%,6.04%,5.49%,6.04%,4.95%,4.4%,3.85%,2.2%,4.95%,3.85%,4.95%,4.95%,4.95%,4.4%,3.3%
04/18/15,231.0,42.86%,31.17%,21.21%,17.75%,17.32%,16.45%,13.42%,14.29%,12.12%,7.79%,9.09%,9.09%,6.93%,10.39%,9.09%,6.49%,6.06%,4.33%,6.93%,4.76%,3.03%,4.33%,3.46%,5.19%,3.46%,3.46%,5.63%,3.03%,3.46%
04/17/15,214.0,39.25%,22.9%,18.22%,15.89%,14.02%,13.55%,12.15%,14.49%,8.88%,9.35%,7.94%,8.88%,6.54%,5.61%,7.01%,5.14%,6.54%,4.21%,5.61%,5.14%,6.07%,4.67%,2.8%,3.27%,3.74%,2.34%,2.34%,1.87%,3.27%
