Incomplete,Date,Sessions,% of Sessions
"","2015/05/10 00:00"," 3255 "," 0.6% "
"","2015/05/09 00:00"," 3192 "," 0.6% "
"","2015/05/08 00:00"," 3156 "," 0.6% "
"","2015/05/07 00:00"," 3093 "," 0.6% "
"","2015/05/06 00:00"," 3048 "," 0.6% "
"","2015/05/05 00:00"," 2912 "," 0.5% "
"","2015/05/04 00:00"," 3307 "," 0.6% "
"","2015/05/03 00:00"," 2904 "," 0.5% "
"","2015/05/02 00:00"," 3410 "," 0.6% "
"","2015/05/01 00:00"," 3167 "," 0.6% "
"","2015/04/30 00:00"," 3455 "," 0.6% "
"","2015/04/29 00:00"," 3409 "," 0.6% "
"","2015/04/28 00:00"," 3661 "," 0.7% "
"","2015/04/27 00:00"," 3236 "," 0.6% "
"","2015/04/26 00:00"," 3160 "," 0.6% "
"","2015/04/25 00:00"," 3886 "," 0.7% "
"","2015/04/24 00:00"," 4069 "," 0.8% "
"","2015/04/23 00:00"," 3242 "," 0.6% "
"","2015/04/22 00:00"," 3240 "," 0.6% "
"","2015/04/21 00:00"," 3465 "," 0.6% "
"","2015/04/20 00:00"," 3695 "," 0.7% "
"","2015/04/19 00:00"," 3895 "," 0.7% "
"","2015/04/18 00:00"," 4406 "," 0.8% "
"","2015/04/17 00:00"," 4159 "," 0.8% "
"","2015/04/16 00:00"," 3783 "," 0.7% "
"","2015/04/15 00:00"," 3740 "," 0.7% "
"","2015/04/14 00:00"," 4056 "," 0.8% "
"","2015/04/13 00:00"," 3692 "," 0.7% "
"","2015/04/12 00:00"," 3891 "," 0.7% "
"","2015/04/11 00:00"," 4039 "," 0.8% "
"","2015/04/10 00:00"," 4068 "," 0.8% "
"","2015/04/09 00:00"," 3805 "," 0.7% "
"","2015/04/08 00:00"," 3531 "," 0.7% "
"","2015/04/07 00:00"," 3495 "," 0.6% "
"","2015/04/06 00:00"," 3513 "," 0.7% "
"","2015/04/05 00:00"," 3566 "," 0.7% "
"","2015/04/04 00:00"," 3696 "," 0.7% "
"","2015/04/03 00:00"," 3338 "," 0.6% "
"","2015/04/02 00:00"," 3465 "," 0.6% "
"","2015/04/01 00:00"," 3184 "," 0.6% "
"","2015/03/31 00:00"," 3112 "," 0.6% "
"","2015/03/30 00:00"," 2863 "," 0.5% "
"","2015/03/29 00:00"," 2944 "," 0.5% "
"","2015/03/28 00:00"," 3136 "," 0.6% "
"","2015/03/27 00:00"," 3788 "," 0.7% "
"","2015/03/26 00:00"," 4870 "," 0.9% "
"","2015/03/25 00:00"," 4689 "," 0.9% "
"","2015/03/24 00:00"," 4507 "," 0.8% "
"","2015/03/23 00:00"," 4410 "," 0.8% "
"","2015/03/22 00:00"," 4374 "," 0.8% "
"","2015/03/21 00:00"," 4768 "," 0.9% "
"","2015/03/20 00:00"," 3940 "," 0.7% "
"","2015/03/19 00:00"," 3912 "," 0.7% "
"","2015/03/18 00:00"," 3667 "," 0.7% "
"","2015/03/17 00:00"," 3147 "," 0.6% "
"","2015/03/16 00:00"," 2878 "," 0.5% "
"","2015/03/15 00:00"," 2733 "," 0.5% "
"","2015/03/14 00:00"," 3380 "," 0.6% "
"","2015/03/13 00:00"," 3269 "," 0.6% "
"","2015/03/12 00:00"," 3198 "," 0.6% "
"","2015/03/11 00:00"," 3436 "," 0.6% "
"","2015/03/10 00:00"," 3624 "," 0.7% "
"","2015/03/09 00:00"," 3521 "," 0.7% "
"","2015/03/08 00:00"," 3417 "," 0.6% "
"","2015/03/07 00:00"," 4347 "," 0.8% "
"","2015/03/06 00:00"," 4371 "," 0.8% "
"","2015/03/05 00:00"," 3859 "," 0.7% "
"","2015/03/04 00:00"," 3889 "," 0.7% "
"","2015/03/03 00:00"," 4103 "," 0.8% "
"","2015/03/02 00:00"," 4168 "," 0.8% "
"","2015/03/01 00:00"," 3864 "," 0.7% "
"","2015/02/28 00:00"," 4442 "," 0.8% "
"","2015/02/27 00:00"," 4656 "," 0.9% "
"","2015/02/26 00:00"," 4717 "," 0.9% "
"","2015/02/25 00:00"," 4382 "," 0.8% "
"","2015/02/24 00:00"," 4635 "," 0.9% "
"","2015/02/23 00:00"," 4868 "," 0.9% "
"","2015/02/22 00:00"," 5016 "," 0.9% "
"","2015/02/21 00:00"," 5454 "," 1.0% "
"","2015/02/20 00:00"," 5386 "," 1.0% "
"","2015/02/19 00:00"," 5535 "," 1.0% "
"","2015/02/18 00:00"," 6035 "," 1.1% "
"","2015/02/17 00:00"," 5608 "," 1.0% "
"","2015/02/16 00:00"," 5282 "," 1.0% "
"","2015/02/15 00:00"," 5475 "," 1.0% "
"","2015/02/14 00:00"," 5571 "," 1.0% "
"","2015/02/13 00:00"," 4618 "," 0.9% "
"","2015/02/12 00:00"," 4578 "," 0.9% "
"","2015/02/11 00:00"," 4747 "," 0.9% "
"","2015/02/10 00:00"," 5142 "," 1.0% "
"","2015/02/09 00:00"," 4862 "," 0.9% "
"","2015/02/08 00:00"," 4723 "," 0.9% "
"","2015/02/07 00:00"," 5396 "," 1.0% "
"","2015/02/06 00:00"," 5152 "," 1.0% "
"","2015/02/05 00:00"," 4651 "," 0.9% "
"","2015/02/04 00:00"," 4915 "," 0.9% "
"","2015/02/03 00:00"," 4998 "," 0.9% "
"","2015/02/02 00:00"," 5478 "," 1.0% "
"","2015/02/01 00:00"," 5041 "," 0.9% "
"","2015/01/31 00:00"," 5425 "," 1.0% "
"","2015/01/30 00:00"," 5731 "," 1.1% "
"","2015/01/29 00:00"," 6078 "," 1.1% "
"","2015/01/28 00:00"," 5531 "," 1.0% "
"","2015/01/27 00:00"," 5592 "," 1.0% "
"","2015/01/26 00:00"," 6039 "," 1.1% "
"","2015/01/25 00:00"," 6245 "," 1.2% "
