Install Date,Cohort Size,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,CrashesDay1,Level Failed Events,Level Failed Percent,Level Success Events,Level Success Percent,Sessions,Sessions Percent,Defect Removal Rate,MKT Expenses,Active Users,ActiveUsers Day 7
5/11/2015,140,44.29,34.29,22.14,20,19.29,14.29,15,0,3646,0.4,2282,0.7,1869,0.3,0.83,41.25,868,954
5/12/2015,166,42.17,27.11,20.48,22.89,16.87,14.46,9.04,0,3404,0.5,2336,0.7,1668,0.3,0.8,50,871,928
5/13/2015,107,43.93,33.64,28.04,18.69,22.43,14.95,14.02,0,3754,0.5,2402,0.7,1765,0.3,0.8,42.03,816,885
5/14/2015,159,44.65,30.19,26.42,23.27,22.01,20.13,16.35,0,3545,0.5,2490,0.7,1705,0.3,0.8,50.56,877,2070
5/15/2015,183,41.53,28.96,23.5,18.58,12.57,12.02,15.85,3,3627,0.5,2650,0.7,1806,0.3,0.8,48.69,989,2222
5/16/2015,214,43.46,28.97,23.36,17.29,17.29,13.08,15.89,4,3927,0.5,2749,0.8,2030,0.4,0.8,49.67,1009,2537
5/17/2015,181,39.23,24.86,17.13,14.92,14.92,8.84,12.15,10,3744,0.5,2599,0.7,2072,0.4,0.8,48.33,931,2632
5/18/2015,183,39.34,23.5,15.85,14.21,15.3,12.02,10.38,9,3716,0.5,2786,0.7,1945,0.3,0.8,43.84,954,2344
5/19/2015,173,40.46,24.28,22.54,21.39,19.08,18.5,17.92,7,3553,0.5,2350,0.7,2052,0.4,0.8,39.53,928,2124
5/20/2015,170,37.65,24.71,22.35,15.29,16.47,14.71,8.24,0,3235,0.4,2119,0.6,1886,0.3,0.8,38.68,885,2073
5/21/2015,1308,35.86,25.54,20.26,19.34,16.28,14.6,11.7,10,5925,1.6,7996,1.1,2134,0.4,0.8,573.23,2070,2135
5/22/2015,1027,35.05,24.05,19.28,16.85,15.48,12.95,11.1,5,6679,1.6,8378,1.3,2051,0.4,0.8,435.93,2222,2174
5/23/2015,1139,35.73,24.67,18.88,14.05,14.66,11.94,13.08,5,7767,1.8,9338,1.5,2593,0.5,0.8,438.02,2537,2264
5/24/2015,1076,36.71,25.93,18.68,15.89,15.61,14.5,11.62,1,7589,1.8,9038,1.5,2637,0.5,0.8,443.24,2632,2171
5/25/2015,630,35.08,22.7,17.3,13.65,13.65,12.7,11.59,3,8054,1.6,8288,1.6,2609,0.5,0.8,325.25,2344,1953
5/26/2015,483,37.27,22.77,19.88,15.32,15.11,14.7,11.8,3,7439,1.3,6784,1.4,2808,0.5,0.8,100.07,2124,1897
5/27/2015,528,35.42,21.21,15.53,15.53,11.93,10.42,8.71,0,6849,1.2,6322,1.3,2565,0.4,0.8,100,2073,1833
5/28/2015,632,35.44,24.37,19.78,15.35,15.51,11.39,9.18,4,6739,1.4,6970,1.3,2632,0.5,0.8,150,2135,1766
5/29/2015,561,35.29,22.99,16.93,11.94,12.12,12.83,9.63,1,7114,1.4,6957,1.4,2718,0.5,0.8,150,2174,1744
5/30/2015,608,40.3,22.7,18.75,14.97,11.84,10.86,9.87,2,6870,1.4,7148,1.3,2931,0.5,0.8,150,2264,1708
5/31/2015,538,36.25,24.35,19.33,15.8,13.94,14.31,12.27,1,6462,1.3,6815,1.3,3067,0.5,0.8,150,2171,1632
6/1/2015,432,34.72,25.23,20.14,17.36,15.05,11.57,10.65,0,6329,1.1,5865,1.2,3046,0.5,0.8,300,1953,1648
6/2/2015,373,34.05,23.86,18.77,15.82,14.48,14.21,12.6,0,6122,1,5269,1.2,3044,0.5,0.8,150,1897,1598
6/3/2015,390,35.9,21.28,17.44,15.64,13.85,12.56,9.49,3,5882,1,5308,1.1,3256,0.6,0.8,150,1833,1559
6/4/2015,359,33.15,16.99,15.88,11.42,11.42,8.64,8.08,1,5253,1,4941,1,3132,0.5,0.8,150,1766,1527
6/5/2015,343,32.36,18.66,15.74,14.87,14.29,9.62,9.62,2,4955,0.9,4453,1,3456,0.6,0.8,150,1744,1511
6/6/2015,329,34.04,23.1,17.33,13.07,13.68,9.12,9.42,0,5185,0.9,4603,1,3376,0.6,0.8,150,1708,1542
6/7/2015,322,39.44,26.09,15.84,13.98,13.35,11.8,9.94,1,4868,0.8,4362,0.9,3511,0.6,0.8,150,1632,1481
6/8/2015,331,39.58,20.85,16.01,13.9,11.78,9.97,10.57,3,4703,0.8,4257,0.9,3311,0.6,0.8,150,1648,1485
6/9/2015,281,38.08,25.62,15.66,14.23,14.23,11.03,8.9,0,4408,0.8,4266,0.9,2914,0.5,0.8,150,1598,1498
6/10/2015,323,32.2,23.53,17.03,13.93,14.24,12.38,9.29,0,4439,0.8,4179,0.9,2216,0.4,0.8,165,1559,1399
6/11/2015,308,33.44,21.75,18.83,20.45,15.91,13.96,12.34,0,4004,0.7,3842,0.8,1417,0.2,0.8,152.41,1527,1474
6/12/2015,282,36.52,21.63,18.79,15.25,15.6,11.7,10.64,0,3969,0.7,3745,0.8,1661,0.3,0.8,121.02,1511,1414
6/13/2015,304,34.87,21.05,13.82,11.18,10.86,11.18,10.53,0,4264,0.8,3978,0.8,1877,0.3,0.8,90,1542,1457
6/14/2015,306,36.27,20.26,17.32,13.07,14.05,10.78,9.8,0,4335,0.8,3907,0.8,1986,0.3,0.8,90,1481,1425
6/15/2015,301,36.54,22.92,17.28,14.29,13.95,10.63,9.3,1,4150,0.8,3882,0.8,2808,0.5,0.8,91.31,1485,1372
6/16/2015,281,31.67,24.2,15.66,14.59,13.52,14.23,9.61,0,4351,0.7,3740,0.8,4027,0.7,0.8,90,1498,1381
6/17/2015,271,40.59,26.57,17.71,15.5,13.65,14.02,13.65,1,4178,0.7,3827,0.8,4360,0.8,0.8,86.97,1399,1416
6/18/2015,300,39.33,24,21.67,16,14,11.33,11.67,0,4339,0.8,3912,0.8,4461,0.8,0.8,80,1474,1367
6/19/2015,253,36.36,26.09,19.76,14.62,13.83,15.42,12.65,0,3740,0.7,3675,0.7,4935,0.9,0.8,80,1414,1364
6/20/2015,320,35,22.81,18.44,16.56,13.44,10,12.19,0,3854,0.8,3943,0.7,4773,0.8,0.8,80,1457,1340
6/21/2015,294,34.01,23.81,14.97,11.9,9.86,9.18,9.18,0,4143,0.8,4187,0.8,4717,0.8,0.8,80,1425,1336
6/22/2015,252,34.52,24.6,18.65,13.49,11.11,8.33,9.52,2,3579,0.7,3511,0.7,4933,0.9,0.8,80,1372,1323
6/23/2015,282,37.94,20.92,16.31,11.7,12.77,9.93,9.22,0,3473,0.6,3326,0.7,5397,0.9,0.8,90.05,1381,1303
6/24/2015,280,35.36,20.71,19.64,15.36,17.5,12.86,14.29,4,3771,0.7,3644,0.7,5303,0.9,0.8,115,1416,1218
6/25/2015,289,32.53,21.11,15.22,15.57,12.8,11.42,10.38,0,3372,0.6,3318,0.7,5686,1,0.8,115,1367,1251
6/26/2015,301,31.56,23.59,15.61,11.3,12.96,10.96,8.64,0,3536,0.7,3448,0.7,6115,1.1,0.8,111.25,1364,1250
6/27/2015,289,36.33,24.22,17.65,14.88,14.19,14.53,11.07,0,3398,0.7,3564,0.7,5358,0.9,0.8,105,1340,1234
6/28/2015,279,35.48,21.86,16.13,12.54,13.98,9.32,9.68,0,3570,0.7,3785,0.7,5775,1,0.8,105,1336,1205
6/29/2015,252,30.56,20.63,15.08,9.92,10.71,8.73,7.94,0,3540,0.7,3441,0.7,6481,1.1,0.8,93.46,1323,1273
6/30/2015,279,35.13,20.43,15.05,11.11,10.75,8.96,8.24,1,3255,0.6,3317,0.6,6857,1.2,0.8,80,1303,1272
7/1/2015,214,35.51,26.17,15.89,13.55,12.62,12.15,9.81,0,3138,0.6,3046,0.6,6542,1.1,0.8,80,1218,1300
7/2/2015,275,32,17.09,13.45,16,12.36,10.18,6.55,2,3102,0.6,3011,0.6,6897,1.2,0.8,84.58,1251,1412
7/3/2015,254,33.86,18.9,12.2,15.75,11.42,11.02,9.84,0,3327,0.6,3250,0.6,7380,1.3,0.8,81.94,1250,3746
7/4/2015,265,35.85,23.77,18.87,16.23,14.34,11.32,9.43,0,3004,0.6,3232,0.6,8131,1.4,0.8,81.96,1234,3724
7/5/2015,290,36.21,21.72,18.62,14.83,12.41,12.07,12.76,0,2864,0.7,3365,0.6,8839,1.5,0.8,80,1205,3819
