Install Date,Cohort Size,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,CrashesANRDay1,DailyAverageRating,LevelFailedEvents,LevelSuccessEvents,LevelPlayedEvents,Sessions,MKTExpenses,TotalPurchases,ActiveUsers,ActiveUsersDay7,MedianSessionSeconds,AvgSessionSeconds
5/11/2015,930,41.51,29.57,22.9,20.54,18.49,16.45,17.63,4,4.56,35192,13371,48563,27050,11.55,42,9408,9387,446,637
5/12/2015,1172,42.92,28.58,25.77,22.1,19.88,18.77,17.06,6,4.77,35200,14261,49461,27293,9.53,45,9576,9261,436,623
5/13/2015,909,41.03,25.96,22.99,20.68,17.16,17.16,15.73,6,4.62,34473,13252,47725,26535,19.78,48,9431,9157,434,608
5/14/2015,865,43.7,30.06,24.62,21.16,20.46,17.34,16.07,3,4.63,35103,12756,47859,26682,7.25,45,9294,9049,440,615
5/15/2015,847,39.91,27.86,23.49,21.02,18.3,16.53,16.29,5,4.25,33954,12337,46291,25805,9.1,27,9248,8901,435,611
5/16/2015,1076,40.89,28.35,22.77,20.17,18.03,15.89,16.45,2,4,35763,13940,49704,27124,7.84,79,9499,8890,438,630
5/17/2015,980,36.94,27.24,24.18,18.06,16.94,17.04,14.18,1,4.64,35953,13523,49476,27343,17.24,45,9607,9110,437,600
5/18/2015,876,41.32,29.68,24.09,18.95,17.12,16.1,15.64,6,4.85,37112,13544,50658,27214,19.15,40,9387,9535,459,627
5/19/2015,829,40.77,26.78,23.04,19.3,16.65,16.89,15.92,1,4.09,35666,12303,47970,26298,12.14,39,9261,9086,451,630
5/20/2015,830,44.22,28.43,23.49,18.55,16.99,19.4,16.02,4,5,34458,11897,46355,25843,14.76,45,9157,8996,446,657
5/21/2015,855,38.48,26.08,24.68,21.17,17.78,17.43,18.25,2,4.57,35035,12661,47696,25933,2.75,47,9049,9014,427,630
5/22/2015,793,41.74,29.38,24.09,19.8,18.16,19.67,14.75,2,4.83,33919,12263,46183,25295,4.76,59,8901,8926,448,638
5/23/2015,837,41.58,31.3,21.03,20.55,18.64,18.04,16.73,7,4.73,33810,12136,45946,25041,4.22,66,8890,9220,449,678
5/24/2015,928,41.16,27.8,24.78,21.01,18.53,18.75,14.44,8,4.57,35136,12669,47805,26383,4.53,45,9110,9577,441,658
5/25/2015,982,36.76,28.31,21.38,20.37,18.43,19.14,15.58,2,4.2,39135,13873,53008,27689,4.19,43,9535,8999,438,622
5/26/2015,872,39.91,29.24,21.22,20.41,17.09,16.06,14.79,1,3.92,35159,12429,47588,25636,1.42,42,9086,9002,443,665
5/27/2015,828,41.18,28.99,21.74,21.86,19.2,16.79,15.22,2,4.9,34353,11668,46022,25164,3.99,52,8996,8863,433,636
5/28/2015,905,40,27.62,26.3,22.76,20.33,16.8,14.03,2,4.24,34228,12108,46337,25560,4.72,31,9014,8644,427,623
5/29/2015,982,41.14,30.96,23.73,19.55,18.74,16.09,15.89,2,4.67,34342,12625,46967,25066,5.56,31,8926,8794,430,660
5/30/2015,991,42.08,26.44,23.01,21.29,17.56,15.44,14.73,6,4.56,34729,13122,47852,25799,6.34,48,9220,8700,437,615
5/31/2015,1055,37.91,30.24,23.13,21.33,18.1,17.54,16.59,2,4.53,36832,13774,50606,27549,9.43,46,9577,9084,445,661
6/1/2015,831,40.19,26.96,22.62,20.34,16.49,18.29,16.97,6,4.25,34700,12210,46910,25603,13.4,40,8999,8912,436,621
6/2/2015,803,38.11,24.66,24.66,16.44,17.43,17.06,14.94,5,4.18,36555,12144,48699,26091,14.36,41,9002,8872,431,587
6/3/2015,881,42,27.01,23.5,19.18,18.16,17.59,15.55,3,4.63,33784,11915,45699,24753,6.07,28,8863,8858,443,632
6/4/2015,826,43.1,27.85,22.76,21.43,17.07,15.86,14.77,2,3.67,32611,11512,44123,24265,20.88,21,8644,8533,441,652
6/5/2015,924,41.67,28.35,21.43,19.37,16.13,14.07,13.53,3,4.7,31871,11722,43593,24151,20.72,39,8794,8411,431,670
6/6/2015,927,39.16,28.05,24.16,19.2,16.5,15.97,16.29,8,4.27,33063,12442,45505,25104,19.48,47,8700,8356,444,664
6/7/2015,984,41.57,28.25,23.68,20.22,17.99,16.87,15.55,3,4.86,34307,13084,47391,25683,19.46,33,9084,8570,444,719
6/8/2015,852,42.72,30.52,25.82,18.9,18.78,15.38,14.44,3,4.33,33239,11980,45219,24816,20.6,20,8912,8438,445,658
6/9/2015,870,41.72,28.74,23.45,20,17.82,17.82,15.29,4,4.86,33352,12090,45442,24861,19.35,31,8872,8278,438,704
6/10/2015,880,40.34,26.59,24.09,18.07,17.27,14.77,13.41,1,4,33603,14135,47738,25128,16.68,29,8858,8023,437,636
