@relation 'JNC Dataset Android 0511-0911 - Training Set-weka.filters.unsupervised.attribute.Remove-R1,4-9,18-weka.filters.unsupervised.attribute.Remove-R2-3,7,9-10,13'

@attribute 'Cohort Size' numeric
@attribute DailyAverageRating numeric
@attribute LevelFailedEvents numeric
@attribute LevelSuccessEvents numeric
@attribute Sessions numeric
@attribute ActiveUsersDay7 numeric
@attribute MedianSessionSeconds numeric

@data
930,4.56,35192,13371,27050,9387,446
1172,4.77,35200,14261,27293,9261,436
909,4.62,34473,13252,26535,9157,434
865,4.63,35103,12756,26682,9049,440
847,4.25,33954,12337,25805,8901,435
1076,4,35763,13940,27124,8890,438
980,4.64,35953,13523,27343,9110,437
876,4.85,37112,13544,27214,9535,459
829,4.09,35666,12303,26298,9086,451
830,5,34458,11897,25843,8996,446
855,4.57,35035,12661,25933,9014,427
793,4.83,33919,12263,25295,8926,448
837,4.73,33810,12136,25041,9220,449
928,4.57,35136,12669,26383,9577,441
982,4.2,39135,13873,27689,8999,438
872,3.92,35159,12429,25636,9002,443
828,4.9,34353,11668,25164,8863,433
905,4.24,34228,12108,25560,8644,427
982,4.67,34342,12625,25066,8794,430
991,4.56,34729,13122,25799,8700,437
1055,4.53,36832,13774,27549,9084,445
831,4.25,34700,12210,25603,8912,436
803,4.18,36555,12144,26091,8872,431
881,4.63,33784,11915,24753,8858,443
826,3.67,32611,11512,24265,8533,441
924,4.7,31871,11722,24151,8411,431
927,4.27,33063,12442,25104,8356,444
984,4.86,34307,13084,25683,8570,444
852,4.33,33239,11980,24816,8438,445
870,4.86,33352,12090,24861,8278,438
880,4,33603,14135,25128,8023,437
809,4.79,31692,14214,24052,7882,452
755,4.56,30042,13192,23109,7477,449
765,4.5,30962,12811,23206,7459,462
810,4,32185,13237,24299,7659,446
705,4,31842,12795,24104,7418,445
748,3.83,30155,11746,22824,7269,452
675,4.25,27903,11750,21832,7425,474
572,4.29,28692,10992,21645,7383,474
554,3.36,27085,9457,20360,7106,488
598,3.75,27682,10340,20515,7203,494
644,4.14,27207,10602,20677,7650,521
631,4.25,26394,9722,20056,7451,493
531,3.43,26169,9300,19344,7461,504
662,5,19546,5774,18079,7336,486
718,4.57,12764,3427,16245,7483,511
690,4.83,11094,2617,15255,7315,517
753,4.36,10710,2510,15726,7179,491
781,4.11,11286,2511,16646,7817,526
670,3.93,10580,2598,16486,7715,496
720,4.27,9725,2302,15980,7820,512
712,3.78,9335,2267,15869,7836,490
780,3.53,9647,2112,16311,7802,446
756,4.62,8995,2029,15802,7758,398
760,4.63,8017,1779,15564,7518,379
810,4.38,9128,1966,17104,7878,420
765,3.95,8291,1855,16548,7678,432
763,4.25,8456,1921,16871,7816,404
792,3.76,7852,1549,16626,7645,428
741,4.91,11802,4255,17920,7643,409
805,4.58,13968,6001,18550,7428,403
714,4.21,15205,6299,19179,7486,432
754,3.93,17145,7424,20322,7897,427
677,4.5,23462,9516,21429,7632,396
714,4.38,26935,10166,21975,7611,389
641,4.67,28007,10722,21751,7496,377
620,4.31,29237,11299,22661,7482,408
582,4,28424,10428,21768,7331,382
645,4.18,29287,11155,21794,7234,380
669,4.33,33187,12515,24334,7490,430
592,4.44,31743,11650,23807,7645,359
546,3.8,31166,10900,23562,7491,392
569,3.94,30382,10626,23158,7312,385
553,4.21,31297,11040,23050,7292,365
512,4.55,29836,10449,22690,6889,348
520,4.4,30349,10779,22854,6798,350
526,3.88,32905,11769,23301,7066,418
514,5,34192,12153,25627,6933,389
479,4.86,31707,11192,23945,6940,339
496,3.9,30572,10923,23147,6797,342
489,4.23,31435,10838,23837,6923,394
400,4,29858,9997,23040,6829,370
400,4.4,29183,10087,22403,6733,351
413,4.71,32339,10728,22647,6899,397
413,4.11,31467,10300,22571,6894,402
434,4.18,29839,9921,23001,6757,369
404,4.3,29188,10030,22439,6731,365
433,3.33,30067,10303,21826,6548,342
443,3.8,29301,10040,21811,6536,389
490,4.88,29098,10030,22142,6580,377
480,4.44,30735,10953,22292,6792,398
429,5,30833,10034,21681,6631,360
448,3.78,29398,9540,21608,6682,346
444,5,30998,10225,22768,6552,357
384,4,29689,9925,22371,6511,361
378,2.25,29757,9440,21346,6451,350
451,3.8,29867,9900,21674,6465,302
399,4.11,32914,10473,22719,6772,377
399,3.75,30847,9699,22201,6456,350
428,4.71,29637,9761,22085,6558,335
431,3.4,29529,9925,21946,6377,364
461,3.71,29194,10375,22113,6510,354
456,4,27528,9864,21299,6272,324
466,3.25,29366,10306,23118,6342,252
496,4.08,31081,10692,22464,6631,289
441,3.71,29477,9657,22044,6286,298
474,4,28367,9700,21735,6204,329
452,4.67,27317,9405,20839,6101,332
431,4.2,28478,9983,21480,6126,296
391,4.5,27066,9955,21196,6072,274
445,4,27974,9925,23404,6110,283
425,4,31176,10994,24678,6281,341
366,4.13,28673,9743,22482,6308,306
368,4.4,27652,8961,20949,6084,314
371,5,26876,8779,20489,5928,356
403,4,28299,9259,21853,5881,378
415,5,26181,9153,21384,5792,358
443,4.5,27794,9551,22188,5975,346
416,2.67,29486,10194,21835,6238,358
409,3.86,30139,10491,23280,5917,389
370,4.8,27698,9639,21410,5767,344
356,5,26075,9129,19440,5625,336
349,4.33,27478,9326,19877,5760,334
341,4.33,25326,8463,18727,5545,250
