@relation 'JNC Dataset Android 0511-0911 - Training Set-weka.filters.unsupervised.attribute.Remove-R1,4-9,18'

@attribute 'Cohort Size' numeric
@attribute 'Day 1' numeric
@attribute CrashesANRDay1 numeric
@attribute DailyAverageRating numeric
@attribute LevelFailedEvents numeric
@attribute LevelSuccessEvents numeric
@attribute LevelPlayedEvents numeric
@attribute Sessions numeric
@attribute MKTExpenses numeric
@attribute TotalPurchases numeric
@attribute ActiveUsersDay7 numeric
@attribute MedianSessionSeconds numeric
@attribute AvgSessionSeconds numeric

@data
930,41.51,4,4.56,35192,13371,48563,27050,11.55,42,9387,446,637
1172,42.92,6,4.77,35200,14261,49461,27293,9.53,45,9261,436,623
909,41.03,6,4.62,34473,13252,47725,26535,19.78,48,9157,434,608
865,43.7,3,4.63,35103,12756,47859,26682,7.25,45,9049,440,615
847,39.91,5,4.25,33954,12337,46291,25805,9.1,27,8901,435,611
1076,40.89,2,4,35763,13940,49704,27124,7.84,79,8890,438,630
980,36.94,1,4.64,35953,13523,49476,27343,17.24,45,9110,437,600
876,41.32,6,4.85,37112,13544,50658,27214,19.15,40,9535,459,627
829,40.77,1,4.09,35666,12303,47970,26298,12.14,39,9086,451,630
830,44.22,4,5,34458,11897,46355,25843,14.76,45,8996,446,657
855,38.48,2,4.57,35035,12661,47696,25933,2.75,47,9014,427,630
793,41.74,2,4.83,33919,12263,46183,25295,4.76,59,8926,448,638
837,41.58,7,4.73,33810,12136,45946,25041,4.22,66,9220,449,678
928,41.16,8,4.57,35136,12669,47805,26383,4.53,45,9577,441,658
982,36.76,2,4.2,39135,13873,53008,27689,4.19,43,8999,438,622
872,39.91,1,3.92,35159,12429,47588,25636,1.42,42,9002,443,665
828,41.18,2,4.9,34353,11668,46022,25164,3.99,52,8863,433,636
905,40,2,4.24,34228,12108,46337,25560,4.72,31,8644,427,623
982,41.14,2,4.67,34342,12625,46967,25066,5.56,31,8794,430,660
991,42.08,6,4.56,34729,13122,47852,25799,6.34,48,8700,437,615
1055,37.91,2,4.53,36832,13774,50606,27549,9.43,46,9084,445,661
831,40.19,6,4.25,34700,12210,46910,25603,13.4,40,8912,436,621
803,38.11,5,4.18,36555,12144,48699,26091,14.36,41,8872,431,587
881,42,3,4.63,33784,11915,45699,24753,6.07,28,8858,443,632
826,43.1,2,3.67,32611,11512,44123,24265,20.88,21,8533,441,652
924,41.67,3,4.7,31871,11722,43593,24151,20.72,39,8411,431,670
927,39.16,8,4.27,33063,12442,45505,25104,19.48,47,8356,444,664
984,41.57,3,4.86,34307,13084,47391,25683,19.46,33,8570,444,719
852,42.72,3,4.33,33239,11980,45219,24816,20.6,20,8438,445,658
870,41.72,4,4.86,33352,12090,45442,24861,19.35,31,8278,438,704
