@relation 'JNC Dataset Android 0511-0911 - Training Set-weka.filters.unsupervised.attribute.Remove-R1,4-9,18-weka.filters.unsupervised.attribute.Remove-V-R1-2,5-6,8-10,12,11'

@attribute 'Cohort Size' numeric
@attribute 'Day 1' numeric
@attribute LevelFailedEvents numeric
@attribute LevelSuccessEvents numeric
@attribute Sessions numeric
@attribute MKTExpenses numeric
@attribute TotalPurchases numeric
@attribute MedianSessionSeconds numeric
@attribute ActiveUsersDay7 numeric

@data
930,41.51,35192,13371,27050,11.55,42,446,9387
1172,42.92,35200,14261,27293,9.53,45,436,9261
909,41.03,34473,13252,26535,19.78,48,434,9157
865,43.7,35103,12756,26682,7.25,45,440,9049
847,39.91,33954,12337,25805,9.1,27,435,8901
1076,40.89,35763,13940,27124,7.84,79,438,8890
980,36.94,35953,13523,27343,17.24,45,437,9110
876,41.32,37112,13544,27214,19.15,40,459,9535
829,40.77,35666,12303,26298,12.14,39,451,9086
830,44.22,34458,11897,25843,14.76,45,446,8996
855,38.48,35035,12661,25933,2.75,47,427,9014
793,41.74,33919,12263,25295,4.76,59,448,8926
837,41.58,33810,12136,25041,4.22,66,449,9220
928,41.16,35136,12669,26383,4.53,45,441,9577
982,36.76,39135,13873,27689,4.19,43,438,8999
872,39.91,35159,12429,25636,1.42,42,443,9002
828,41.18,34353,11668,25164,3.99,52,433,8863
905,40,34228,12108,25560,4.72,31,427,8644
982,41.14,34342,12625,25066,5.56,31,430,8794
991,42.08,34729,13122,25799,6.34,48,437,8700
1055,37.91,36832,13774,27549,9.43,46,445,9084
831,40.19,34700,12210,25603,13.4,40,436,8912
803,38.11,36555,12144,26091,14.36,41,431,8872
881,42,33784,11915,24753,6.07,28,443,8858
826,43.1,32611,11512,24265,20.88,21,441,8533
924,41.67,31871,11722,24151,20.72,39,431,8411
927,39.16,33063,12442,25104,19.48,47,444,8356
984,41.57,34307,13084,25683,19.46,33,444,8570
852,42.72,33239,11980,24816,20.6,20,445,8438
870,41.72,33352,12090,24861,19.35,31,438,8278
880,40.34,33603,14135,25128,16.68,29,437,8023
809,36.09,31692,14214,24052,11.02,34,452,7882
755,38.01,30042,13192,23109,11.66,19,449,7477
765,36.6,30962,12811,23206,10.03,25,462,7459
810,37.28,32185,13237,24299,6.84,21,446,7659
705,40,31842,12795,24104,10.68,27,445,7418
748,40.11,30155,11746,22824,7.4,16,452,7269
675,42.37,27903,11750,21832,0,10,474,7425
572,37.41,28692,10992,21645,0,10,474,7383
554,37.91,27085,9457,20360,0,11,488,7106
598,40.8,27682,10340,20515,0,14,494,7203
