Incomplete,Date,Events,% of Events
"","2015/01/05"," 24375 "," 1.1% "
"","2015/01/06"," 25977 "," 1.1% "
"","2015/01/07"," 24326 "," 1.1% "
"","2015/01/08"," 25812 "," 1.1% "
"","2015/01/09"," 27670 "," 1.2% "
"","2015/01/10"," 32637 "," 1.4% "
"","2015/01/11"," 28176 "," 1.2% "
"","2015/01/12"," 22100 "," 1.0% "
"","2015/01/13"," 20800 "," 0.9% "
"","2015/01/14"," 21592 "," 0.9% "
"","2015/01/15"," 19994 "," 0.9% "
"","2015/01/16"," 20104 "," 0.9% "
"","2015/01/17"," 22804 "," 1.0% "
"","2015/01/18"," 24615 "," 1.1% "
"","2015/01/19"," 21340 "," 0.9% "
"","2015/01/20"," 20748 "," 0.9% "
"","2015/01/21"," 26187 "," 1.1% "
"","2015/01/22"," 26550 "," 1.2% "
"","2015/01/23"," 27878 "," 1.2% "
"","2015/01/24"," 28978 "," 1.3% "
"","2015/01/25"," 28462 "," 1.2% "
"","2015/01/26"," 21791 "," 0.9% "
"","2015/01/27"," 20632 "," 0.9% "
"","2015/01/28"," 20490 "," 0.9% "
"","2015/01/29"," 19833 "," 0.9% "
"","2015/01/30"," 20258 "," 0.9% "
"","2015/01/31"," 21797 "," 0.9% "
"","2015/02/01"," 21572 "," 0.9% "
"","2015/02/02"," 20997 "," 0.9% "
"","2015/02/03"," 18843 "," 0.8% "
"","2015/02/04"," 17281 "," 0.7% "
"","2015/02/05"," 16089 "," 0.7% "
"","2015/02/06"," 16703 "," 0.7% "
"","2015/02/07"," 20158 "," 0.9% "
"","2015/02/08"," 21205 "," 0.9% "
"","2015/02/09"," 17822 "," 0.8% "
"","2015/02/10"," 18589 "," 0.8% "
"","2015/02/11"," 16720 "," 0.7% "
"","2015/02/12"," 16191 "," 0.7% "
"","2015/02/13"," 15000 "," 0.7% "
"","2015/02/14"," 17847 "," 0.8% "
"","2015/02/15"," 18446 "," 0.8% "
"","2015/02/16"," 17157 "," 0.7% "
"","2015/02/17"," 15623 "," 0.7% "
"","2015/02/18"," 19985 "," 0.9% "
"","2015/02/19"," 21225 "," 0.9% "
"","2015/02/20"," 23567 "," 1.0% "
"","2015/02/21"," 25197 "," 1.1% "
"","2015/02/22"," 25274 "," 1.1% "
"","2015/02/23"," 18185 "," 0.8% "
"","2015/02/24"," 16834 "," 0.7% "
"","2015/02/25"," 17554 "," 0.8% "
"","2015/02/26"," 19539 "," 0.8% "
"","2015/02/27"," 17616 "," 0.8% "
"","2015/02/28"," 21414 "," 0.9% "
"","2015/03/01"," 21534 "," 0.9% "
"","2015/03/02"," 20144 "," 0.9% "
"","2015/03/03"," 21421 "," 0.9% "
"","2015/03/04"," 22216 "," 1.0% "
"","2015/03/05"," 22782 "," 1.0% "
"","2015/03/06"," 22976 "," 1.0% "
"","2015/03/07"," 20452 "," 0.9% "
"","2015/03/08"," 17966 "," 0.8% "
"","2015/03/09"," 15964 "," 0.7% "
"","2015/03/10"," 15804 "," 0.7% "
"","2015/03/11"," 14487 "," 0.6% "
"","2015/03/12"," 13818 "," 0.6% "
"","2015/03/13"," 14350 "," 0.6% "
