Incomplete,Date,Events,% of Events
"","2015/01/05"," 47548 "," 1.0% "
"","2015/01/06"," 50291 "," 1.1% "
"","2015/01/07"," 47236 "," 1.0% "
"","2015/01/08"," 47664 "," 1.0% "
"","2015/01/09"," 48922 "," 1.0% "
"","2015/01/10"," 52382 "," 1.1% "
"","2015/01/11"," 50857 "," 1.1% "
"","2015/01/12"," 44697 "," 0.9% "
"","2015/01/13"," 42108 "," 0.9% "
"","2015/01/14"," 42749 "," 0.9% "
"","2015/01/15"," 40910 "," 0.9% "
"","2015/01/16"," 40620 "," 0.9% "
"","2015/01/17"," 41519 "," 0.9% "
"","2015/01/18"," 44487 "," 0.9% "
"","2015/01/19"," 40440 "," 0.9% "
"","2015/01/20"," 38494 "," 0.8% "
"","2015/01/21"," 42507 "," 0.9% "
"","2015/01/22"," 42512 "," 0.9% "
"","2015/01/23"," 43049 "," 0.9% "
"","2015/01/24"," 46764 "," 1.0% "
"","2015/01/25"," 49344 "," 1.0% "
"","2015/01/26"," 43570 "," 0.9% "
"","2015/01/27"," 42176 "," 0.9% "
"","2015/01/28"," 40539 "," 0.9% "
"","2015/01/29"," 41050 "," 0.9% "
"","2015/01/30"," 39561 "," 0.8% "
"","2015/01/31"," 40798 "," 0.9% "
"","2015/02/01"," 41700 "," 0.9% "
"","2015/02/02"," 42004 "," 0.9% "
"","2015/02/03"," 38471 "," 0.8% "
"","2015/02/04"," 36575 "," 0.8% "
"","2015/02/05"," 36353 "," 0.8% "
"","2015/02/06"," 37779 "," 0.8% "
"","2015/02/07"," 38013 "," 0.8% "
"","2015/02/08"," 38680 "," 0.8% "
"","2015/02/09"," 34782 "," 0.7% "
"","2015/02/10"," 37726 "," 0.8% "
"","2015/02/11"," 35823 "," 0.8% "
"","2015/02/12"," 35412 "," 0.7% "
"","2015/02/13"," 34273 "," 0.7% "
"","2015/02/14"," 36435 "," 0.8% "
"","2015/02/15"," 38196 "," 0.8% "
"","2015/02/16"," 37191 "," 0.8% "
"","2015/02/17"," 35380 "," 0.7% "
"","2015/02/18"," 36690 "," 0.8% "
"","2015/02/19"," 36093 "," 0.8% "
"","2015/02/20"," 38361 "," 0.8% "
"","2015/02/21"," 40438 "," 0.9% "
"","2015/02/22"," 43617 "," 0.9% "
"","2015/02/23"," 39004 "," 0.8% "
"","2015/02/24"," 37079 "," 0.8% "
"","2015/02/25"," 35989 "," 0.8% "
"","2015/02/26"," 36631 "," 0.8% "
"","2015/02/27"," 34474 "," 0.7% "
"","2015/02/28"," 36389 "," 0.8% "
"","2015/03/01"," 39042 "," 0.8% "
"","2015/03/02"," 37313 "," 0.8% "
"","2015/03/03"," 37827 "," 0.8% "
"","2015/03/04"," 38158 "," 0.8% "
"","2015/03/05"," 39498 "," 0.8% "
"","2015/03/06"," 39463 "," 0.8% "
"","2015/03/07"," 39235 "," 0.8% "
"","2015/03/08"," 38504 "," 0.8% "
"","2015/03/09"," 36786 "," 0.8% "
"","2015/03/10"," 37537 "," 0.8% "
"","2015/03/11"," 35678 "," 0.8% "
"","2015/03/12"," 34176 "," 0.7% "
"","2015/03/13"," 33570 "," 0.7% "
"","2015/03/14"," 36142 "," 0.8% "
"","2015/03/15"," 35616 "," 0.8% "
"","2015/03/16"," 34776 "," 0.7% "
"","2015/03/17"," 35817 "," 0.8% "
"","2015/03/18"," 36837 "," 0.8% "
"","2015/03/19"," 35619 "," 0.8% "
"","2015/03/20"," 34931 "," 0.7% "
"","2015/03/21"," 37295 "," 0.8% "
"","2015/03/22"," 37522 "," 0.8% "
"","2015/03/23"," 34629 "," 0.7% "
"","2015/03/24"," 32408 "," 0.7% "
"","2015/03/25"," 32672 "," 0.7% "
"","2015/03/26"," 31014 "," 0.7% "
"","2015/03/27"," 30463 "," 0.6% "
"","2015/03/28"," 31861 "," 0.7% "
"","2015/03/29"," 35658 "," 0.8% "
"","2015/03/30"," 33243 "," 0.7% "
"","2015/03/31"," 34929 "," 0.7% "
"","2015/04/01"," 32247 "," 0.7% "
"","2015/04/02"," 32723 "," 0.7% "
"","2015/04/03"," 32186 "," 0.7% "
"","2015/04/04"," 31128 "," 0.7% "
"","2015/04/05"," 31651 "," 0.7% "
"","2015/04/06"," 32462 "," 0.7% "
"","2015/04/07"," 31004 "," 0.7% "
"","2015/04/08"," 31003 "," 0.7% "
"","2015/04/09"," 31101 "," 0.7% "
"","2015/04/10"," 33528 "," 0.7% "
"","2015/04/11"," 35836 "," 0.8% "
"","2015/04/12"," 38171 "," 0.8% "
"","2015/04/13"," 37266 "," 0.8% "
"","2015/04/14"," 38056 "," 0.8% "
"","2015/04/15"," 35497 "," 0.7% "
"","2015/04/16"," 34310 "," 0.7% "
"","2015/04/17"," 33952 "," 0.7% "
"","2015/04/18"," 35775 "," 0.8% "
"","2015/04/19"," 38412 "," 0.8% "
"","2015/04/20"," 36238 "," 0.8% "
"","2015/04/21"," 34786 "," 0.7% "
"","2015/04/22"," 34748 "," 0.7% "
"","2015/04/23"," 34726 "," 0.7% "
"","2015/04/24"," 35968 "," 0.8% "
"","2015/04/25"," 36717 "," 0.8% "
"","2015/04/26"," 38976 "," 0.8% "
"","2015/04/27"," 36317 "," 0.8% "
"","2015/04/28"," 37510 "," 0.8% "
"","2015/04/29"," 34817 "," 0.7% "
"","2015/04/30"," 33311 "," 0.7% "
"","2015/05/01"," 32919 "," 0.7% "
"","2015/05/02"," 34189 "," 0.7% "
"","2015/05/03"," 35164 "," 0.7% "
"","2015/05/04"," 34789 "," 0.7% "
"","2015/05/05"," 33821 "," 0.7% "
"","2015/05/06"," 35493 "," 0.7% "
"","2015/05/07"," 33503 "," 0.7% "
"","2015/05/08"," 34093 "," 0.7% "
"","2015/05/09"," 33821 "," 0.7% "
"","2015/05/10"," 36126 "," 0.8% "
