Incomplete,Date,Events,% of Events
"","2015/01/05"," 71925 "," 1.0% "
"","2015/01/06"," 76269 "," 1.1% "
"","2015/01/07"," 71564 "," 1.0% "
"","2015/01/08"," 73477 "," 1.0% "
"","2015/01/09"," 76593 "," 1.1% "
"","2015/01/10"," 85020 "," 1.2% "
"","2015/01/11"," 79034 "," 1.1% "
"","2015/01/12"," 66798 "," 0.9% "
"","2015/01/13"," 62911 "," 0.9% "
"","2015/01/14"," 64341 "," 0.9% "
"","2015/01/15"," 60904 "," 0.9% "
"","2015/01/16"," 60724 "," 0.9% "
"","2015/01/17"," 64323 "," 0.9% "
"","2015/01/18"," 69102 "," 1.0% "
"","2015/01/19"," 61780 "," 0.9% "
"","2015/01/20"," 59243 "," 0.8% "
"","2015/01/21"," 68694 "," 1.0% "
"","2015/01/22"," 69063 "," 1.0% "
"","2015/01/23"," 70927 "," 1.0% "
"","2015/01/24"," 75744 "," 1.1% "
"","2015/01/25"," 77807 "," 1.1% "
"","2015/01/26"," 65361 "," 0.9% "
"","2015/01/27"," 62809 "," 0.9% "
"","2015/01/28"," 61029 "," 0.9% "
"","2015/01/29"," 60885 "," 0.9% "
"","2015/01/30"," 59820 "," 0.8% "
"","2015/01/31"," 62596 "," 0.9% "
"","2015/02/01"," 63274 "," 0.9% "
"","2015/02/02"," 63001 "," 0.9% "
"","2015/02/03"," 57314 "," 0.8% "
"","2015/02/04"," 53858 "," 0.8% "
"","2015/02/05"," 52443 "," 0.7% "
"","2015/02/06"," 54482 "," 0.8% "
"","2015/02/07"," 58172 "," 0.8% "
"","2015/02/08"," 59885 "," 0.9% "
"","2015/02/09"," 52604 "," 0.7% "
"","2015/02/10"," 56316 "," 0.8% "
"","2015/02/11"," 52544 "," 0.7% "
"","2015/02/12"," 51603 "," 0.7% "
"","2015/02/13"," 49274 "," 0.7% "
"","2015/02/14"," 54283 "," 0.8% "
"","2015/02/15"," 56642 "," 0.8% "
"","2015/02/16"," 54349 "," 0.8% "
"","2015/02/17"," 51003 "," 0.7% "
"","2015/02/18"," 56676 "," 0.8% "
"","2015/02/19"," 57318 "," 0.8% "
"","2015/02/20"," 61931 "," 0.9% "
"","2015/02/21"," 65635 "," 0.9% "
"","2015/02/22"," 68893 "," 1.0% "
"","2015/02/23"," 57190 "," 0.8% "
"","2015/02/24"," 53915 "," 0.8% "
"","2015/02/25"," 53545 "," 0.8% "
"","2015/02/26"," 56170 "," 0.8% "
"","2015/02/27"," 52090 "," 0.7% "
"","2015/02/28"," 57804 "," 0.8% "
"","2015/03/01"," 60576 "," 0.9% "
"","2015/03/02"," 57457 "," 0.8% "
"","2015/03/03"," 59249 "," 0.8% "
"","2015/03/04"," 60376 "," 0.9% "
"","2015/03/05"," 62280 "," 0.9% "
"","2015/03/06"," 62439 "," 0.9% "
"","2015/03/07"," 59687 "," 0.8% "
"","2015/03/08"," 56470 "," 0.8% "
"","2015/03/09"," 52750 "," 0.7% "
"","2015/03/10"," 53341 "," 0.8% "
"","2015/03/11"," 50165 "," 0.7% "
"","2015/03/12"," 47994 "," 0.7% "
"","2015/03/13"," 47921 "," 0.7% "
"","2015/03/14"," 52341 "," 0.7% "
"","2015/03/15"," 52808 "," 0.7% "
"","2015/03/16"," 51702 "," 0.7% "
"","2015/03/17"," 55609 "," 0.8% "
"","2015/03/18"," 57396 "," 0.8% "
"","2015/03/19"," 54040 "," 0.8% "
"","2015/03/20"," 51184 "," 0.7% "
"","2015/03/21"," 53771 "," 0.8% "
"","2015/03/22"," 52399 "," 0.7% "
"","2015/03/23"," 48136 "," 0.7% "
"","2015/03/24"," 45104 "," 0.6% "
"","2015/03/25"," 45714 "," 0.6% "
"","2015/03/26"," 44874 "," 0.6% "
"","2015/03/27"," 45043 "," 0.6% "
"","2015/03/28"," 48026 "," 0.7% "
"","2015/03/29"," 54004 "," 0.8% "
"","2015/03/30"," 49736 "," 0.7% "
"","2015/03/31"," 50728 "," 0.7% "
"","2015/04/01"," 46364 "," 0.7% "
"","2015/04/02"," 46368 "," 0.7% "
"","2015/04/03"," 45422 "," 0.6% "
"","2015/04/04"," 43571 "," 0.6% "
"","2015/04/05"," 44039 "," 0.6% "
"","2015/04/06"," 44529 "," 0.6% "
"","2015/04/07"," 42810 "," 0.6% "
"","2015/04/08"," 43628 "," 0.6% "
"","2015/04/09"," 46200 "," 0.7% "
"","2015/04/10"," 50927 "," 0.7% "
"","2015/04/11"," 57705 "," 0.8% "
"","2015/04/12"," 60145 "," 0.9% "
"","2015/04/13"," 55385 "," 0.8% "
"","2015/04/14"," 55046 "," 0.8% "
"","2015/04/15"," 50667 "," 0.7% "
"","2015/04/16"," 48657 "," 0.7% "
"","2015/04/17"," 47562 "," 0.7% "
"","2015/04/18"," 51261 "," 0.7% "
"","2015/04/19"," 55245 "," 0.8% "
"","2015/04/20"," 50745 "," 0.7% "
"","2015/04/21"," 49404 "," 0.7% "
"","2015/04/22"," 49220 "," 0.7% "
"","2015/04/23"," 50425 "," 0.7% "
"","2015/04/24"," 51758 "," 0.7% "
"","2015/04/25"," 53542 "," 0.8% "
"","2015/04/26"," 55273 "," 0.8% "
"","2015/04/27"," 49989 "," 0.7% "
"","2015/04/28"," 52017 "," 0.7% "
"","2015/04/29"," 48036 "," 0.7% "
"","2015/04/30"," 45520 "," 0.6% "
"","2015/05/01"," 44905 "," 0.6% "
"","2015/05/02"," 49035 "," 0.7% "
"","2015/05/03"," 50191 "," 0.7% "
"","2015/05/04"," 48901 "," 0.7% "
"","2015/05/05"," 47378 "," 0.7% "
"","2015/05/06"," 51087 "," 0.7% "
"","2015/05/07"," 47406 "," 0.7% "
"","2015/05/08"," 47963 "," 0.7% "
"","2015/05/09"," 48149 "," 0.7% "
"","2015/05/10"," 51046 "," 0.7% "
