"",,Days Since Install
Install Date,Cohort Size,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
05/10/15,978.0,39.26%,28.43%,24.54%,21.06%,19.12%,16.67%,16.77%,12.58%,12.68%,11.25%,11.35%,11.15%,10.53%,9.92%,12.58%,10.02%,8.9%,9.51%,7.67%,9.2%,7.98%,8.18%,7.06%,6.34%,7.36%,6.54%,7.16%,7.36%,5.93%
05/09/15,1178.0,42.61%,28.61%,22.41%,20.88%,18.51%,17.49%,19.69%,15.96%,14.52%,13.33%,12.14%,10.61%,11.63%,11.54%,10.61%,9.51%,8.83%,8.32%,8.32%,9.51%,8.32%,8.57%,7.72%,6.88%,6.45%,6.96%,7.72%,6.62%,7.98%
05/08/15,1100.0,41.55%,31.18%,24.55%,20.55%,17.64%,16.27%,14.55%,14.27%,13.82%,12.36%,11.18%,11.64%,10.73%,10.27%,9.27%,8.18%,10.27%,10.36%,8.91%,8.18%,8.18%,8.64%,9.18%,7.64%,7.55%,7.18%,7.64%,6.36%,5.91%
05/07/15,1256.0,38.93%,27.15%,20.38%,17.28%,16.8%,15.05%,13.3%,12.58%,11.7%,11.86%,11.86%,10.35%,11.07%,8.84%,7.88%,7.8%,8.44%,8.44%,7.88%,6.85%,6.37%,6.53%,7.25%,5.89%,6.37%,6.37%,6.77%,5.41%,6.61%
05/06/15,1261.0,37.19%,24.43%,19.27%,18.24%,16.49%,15.78%,14.35%,13.56%,11.58%,11.82%,12.45%,10.47%,9.36%,9.28%,8.64%,8.09%,9.12%,8.25%,8.25%,7.38%,7.93%,7.77%,6.74%,6.19%,6.26%,5.87%,5.95%,6.34%,5.23%
05/05/15,1086.0,38.31%,24.59%,23.2%,17.4%,16.39%,14.83%,13.17%,11.23%,10.96%,10.68%,8.75%,8.84%,10.41%,8.66%,8.38%,8.2%,7.64%,7.09%,7.18%,7.09%,7.27%,5.8%,5.06%,5.71%,4.79%,5.99%,5.06%,5.06%,4.33%
05/04/15,1144.0,35.14%,26.92%,21.07%,16.96%,15.12%,14.69%,14.16%,12.67%,11.01%,10.14%,9.53%,8.83%,8.22%,8.65%,8.65%,7.43%,7.78%,7.6%,6.99%,5.94%,6.99%,7.78%,7.26%,6.47%,6.29%,5.42%,5.51%,5.16%,5.59%
05/03/15,1291.0,37.41%,27.34%,21.84%,19.6%,16.65%,15.1%,14.41%,11.54%,12.24%,12.32%,10.77%,11.08%,9.91%,9.68%,8.29%,8.37%,8.06%,7.59%,7.67%,7.82%,8.83%,7.59%,7.2%,6.97%,5.58%,5.27%,6.89%,6.66%,6.2%
05/02/15,1220.0,39.02%,25.49%,19.75%,17.87%,16.48%,13.85%,14.18%,12.7%,10.57%,9.51%,8.69%,8.44%,8.44%,10.25%,8.77%,8.03%,8.69%,7.95%,6.89%,7.79%,7.46%,7.46%,6.89%,6.31%,6.23%,5.66%,5.41%,5.98%,5.74%
05/01/15,777.0,40.93%,27.93%,22.91%,18.02%,15.96%,15.19%,15.32%,12.87%,12.48%,10.55%,10.81%,9.14%,9.27%,9.4%,8.88%,9.4%,7.72%,7.46%,6.69%,6.31%,7.08%,7.21%,6.31%,6.56%,7.46%,5.53%,5.15%,5.28%,5.41%
