Incomplete,Date,Sessions,% of Sessions
"","2015/05/10 00:00"," 28282 "," 0.7% "
"","2015/05/09 00:00"," 27102 "," 0.7% "
"","2015/05/08 00:00"," 26721 "," 0.7% "
"","2015/05/07 00:00"," 26695 "," 0.7% "
"","2015/05/06 00:00"," 27910 "," 0.7% "
"","2015/05/05 00:00"," 27111 "," 0.7% "
"","2015/05/04 00:00"," 27804 "," 0.7% "
"","2015/05/03 00:00"," 28066 "," 0.7% "
"","2015/05/02 00:00"," 27434 "," 0.7% "
"","2015/05/01 00:00"," 26039 "," 0.6% "
"","2015/04/30 00:00"," 26069 "," 0.6% "
"","2015/04/29 00:00"," 27293 "," 0.7% "
"","2015/04/28 00:00"," 28927 "," 0.7% "
"","2015/04/27 00:00"," 28749 "," 0.7% "
"","2015/04/26 00:00"," 31023 "," 0.8% "
"","2015/04/25 00:00"," 30578 "," 0.8% "
"","2015/04/24 00:00"," 30089 "," 0.7% "
"","2015/04/23 00:00"," 29217 "," 0.7% "
"","2015/04/22 00:00"," 28948 "," 0.7% "
"","2015/04/21 00:00"," 28473 "," 0.7% "
"","2015/04/20 00:00"," 28957 "," 0.7% "
"","2015/04/19 00:00"," 31173 "," 0.8% "
"","2015/04/18 00:00"," 30064 "," 0.7% "
"","2015/04/17 00:00"," 28546 "," 0.7% "
"","2015/04/16 00:00"," 28924 "," 0.7% "
"","2015/04/15 00:00"," 28814 "," 0.7% "
"","2015/04/14 00:00"," 31040 "," 0.8% "
"","2015/04/13 00:00"," 31945 "," 0.8% "
"","2015/04/12 00:00"," 33719 "," 0.8% "
"","2015/04/11 00:00"," 32195 "," 0.8% "
"","2015/04/10 00:00"," 29046 "," 0.7% "
"","2015/04/09 00:00"," 26587 "," 0.7% "
"","2015/04/08 00:00"," 25668 "," 0.6% "
"","2015/04/07 00:00"," 24879 "," 0.6% "
"","2015/04/06 00:00"," 26152 "," 0.7% "
"","2015/04/05 00:00"," 25820 "," 0.6% "
"","2015/04/04 00:00"," 25977 "," 0.6% "
"","2015/04/03 00:00"," 26711 "," 0.7% "
"","2015/04/02 00:00"," 26818 "," 0.7% "
"","2015/04/01 00:00"," 27008 "," 0.7% "
"","2015/03/31 00:00"," 29064 "," 0.7% "
"","2015/03/30 00:00"," 28783 "," 0.7% "
"","2015/03/29 00:00"," 30727 "," 0.8% "
"","2015/03/28 00:00"," 28097 "," 0.7% "
"","2015/03/27 00:00"," 26396 "," 0.7% "
"","2015/03/26 00:00"," 26578 "," 0.7% "
"","2015/03/25 00:00"," 27115 "," 0.7% "
"","2015/03/24 00:00"," 26421 "," 0.7% "
"","2015/03/23 00:00"," 27797 "," 0.7% "
"","2015/03/22 00:00"," 29977 "," 0.7% "
"","2015/03/21 00:00"," 30310 "," 0.8% "
"","2015/03/20 00:00"," 29424 "," 0.7% "
"","2015/03/19 00:00"," 29909 "," 0.7% "
"","2015/03/18 00:00"," 31436 "," 0.8% "
"","2015/03/17 00:00"," 31195 "," 0.8% "
"","2015/03/16 00:00"," 29995 "," 0.7% "
"","2015/03/15 00:00"," 30036 "," 0.7% "
"","2015/03/14 00:00"," 30213 "," 0.8% "
"","2015/03/13 00:00"," 29108 "," 0.7% "
"","2015/03/12 00:00"," 29439 "," 0.7% "
"","2015/03/11 00:00"," 30805 "," 0.8% "
"","2015/03/10 00:00"," 31536 "," 0.8% "
"","2015/03/09 00:00"," 31857 "," 0.8% "
"","2015/03/08 00:00"," 33203 "," 0.8% "
"","2015/03/07 00:00"," 34122 "," 0.8% "
"","2015/03/06 00:00"," 34447 "," 0.9% "
"","2015/03/05 00:00"," 34559 "," 0.9% "
"","2015/03/04 00:00"," 34026 "," 0.8% "
"","2015/03/03 00:00"," 34176 "," 0.9% "
"","2015/03/02 00:00"," 33728 "," 0.8% "
"","2015/03/01 00:00"," 35214 "," 0.9% "
"","2015/02/28 00:00"," 34795 "," 0.9% "
"","2015/02/27 00:00"," 32730 "," 0.8% "
"","2015/02/26 00:00"," 35007 "," 0.9% "
"","2015/02/25 00:00"," 33698 "," 0.8% "
"","2015/02/24 00:00"," 33737 "," 0.8% "
"","2015/02/23 00:00"," 35168 "," 0.9% "
"","2015/02/22 00:00"," 40018 "," 1.0% "
"","2015/02/21 00:00"," 39007 "," 1.0% "
"","2015/02/20 00:00"," 37142 "," 0.9% "
"","2015/02/19 00:00"," 35639 "," 0.9% "
"","2015/02/18 00:00"," 34893 "," 0.9% "
"","2015/02/17 00:00"," 33045 "," 0.8% "
"","2015/02/16 00:00"," 34891 "," 0.9% "
