@relation 'DNC Dataset Android 0511-0911 - Training Set-weka.filters.unsupervised.attribute.Remove-R1,4-9,18-weka.filters.unsupervised.attribute.Remove-R2-5,7,10,12-13'

@attribute 'Cohort Size' numeric
@attribute LevelSuccessEvents numeric
@attribute Sessions numeric
@attribute MKTExpenses numeric
@attribute ActiveUsersDay7 numeric

@data
140,2282,2991,41.25,954
166,2336,2885,50,928
107,2402,2984,42.03,885
159,2490,3091,50.56,2070
183,2650,3362,48.69,2222
214,2749,3547,49.67,2537
181,2599,3088,48.33,2632
183,2786,3706,43.84,2344
173,2350,3418,39.53,2124
170,2119,3095,38.68,2073
1308,7996,6948,573.23,2135
1027,8378,7524,435.93,2174
1139,9338,8540,438.02,2264
1076,9038,8285,443.24,2171
630,8288,7882,325.25,1953
483,6784,7266,100.07,1897
528,6322,6939,100,1833
632,6970,7143,150,1766
561,6957,7469,150,1744
608,7148,7718,150,1708
538,6815,7108,150,1632
432,5865,6721,300,1648
373,5269,6088,150,1598
390,5308,6163,150,1559
359,4941,5422,150,1527
343,4453,5197,150,1511
329,4603,5059,150,1542
322,4362,4612,150,1481
331,4257,4659,150,1485
281,4266,4996,150,1498
323,4179,4224,165,1399
308,3842,4092,152.41,1474
282,3745,4027,121.02,1414
304,3978,4149,90,1457
306,3907,4263,90,1425
301,3882,4110,91.31,1372
281,3740,4378,90,1381
271,3827,3943,86.97,1416
300,3912,4139,80,1367
253,3675,3938,80,1364
320,3943,4212,80,1340
294,4187,4285,80,1336
252,3511,3659,80,1323
282,3326,3641,90.05,1303
280,3644,3903,115,1218
289,3318,3542,115,1251
301,3448,3508,111.25,1250
289,3564,3652,105,1234
279,3785,3608,105,1205
252,3441,3505,93.46,1273
279,3317,3386,80,1272
214,3046,3236,80,1300
275,3011,3393,84.58,1412
254,3250,3485,81.94,3746
265,3232,3367,81.96,3724
290,3365,3233,80,3819
304,3770,3705,84.67,4097
286,3658,3788,82.9,4291
277,3439,3568,80,3950
466,3519,3567,80,3596
2722,10294,9485,80,2963
1988,11593,10605,80,2665
1884,12668,11506,86.4,2422
1991,12978,12248,88,2233
1867,12782,12644,81.46,2046
1386,12081,12275,66.4,1996
920,11692,11947,67.2,1991
337,8784,10294,65.6,2016
297,7496,8839,72.8,1935
286,6866,8131,81.6,1776
275,6259,7380,92,1831
247,5711,6897,81.6,1769
261,5453,6542,76,1683
292,5637,6857,77.6,1690
314,5406,6481,71.2,1625
269,4951,5775,77.6,1547
265,4566,5358,69.6,1530
291,4931,6115,73.6,1538
255,4311,5686,69.6,1472
254,4201,5303,71.1,1395
248,4334,5397,72,1385
244,4063,4933,72,951
261,3772,4717,65.6,670
240,3624,4773,75.2,585
265,3997,4935,80.8,499
229,3502,4461,75.2,459
231,3735,4360,70.4,801
194,3268,4027,80,1046
33,1962,2808,148.21,1173
22,1267,1986,107.99,1205
29,1204,1877,116,1188
9,1172,1661,122.92,1208
13,990,1417,69.6,1125
211,1808,2216,72,1188
233,2314,2914,64.8,1081
246,2482,3311,64,1067
237,2593,3511,69.6,1136
250,2606,3376,69.6,1034
255,2709,3456,71.2,967
209,2617,3132,68,999
197,2443,3256,55.72,913
140,2376,3044,6.3,937
127,2183,3046,8.1,896
179,2322,3067,7.1,922
147,2066,2931,7.2,883
140,1932,2718,13.4,768
115,1879,2632,7.2,750
105,1729,2565,0,709
105,2026,2808,0.8,730
100,1865,2609,0,756
108,1862,2637,0,769
100,1823,2593,0.9,665
73,1314,2051,0,665
69,1527,2134,0,616
78,1240,1886,0.9,608
78,1374,2052,0,643
73,1320,1945,0,650
111,1463,2072,0.9,688
71,1446,2030,0,688
75,1136,1806,0,602
49,1035,1705,0,592
67,1266,1765,0,624
82,1223,1787,0.9,564
69,1239,1954,0,603
