Report,In App Purchases
Account,Google PlayLab
App,Dragon Cubes
Breakdown,IAP Items
Currency,USD
Countries,All Countries
Data,IAP Units
Start Date,05/11/2015
End Date,09/11/2015
Date Generated,10/12/2015 01:04:49 PDT

Date,210 Gold Pieces,15 Gold Pieces,50 Gold Pieces,1200 Gold Pieces,Gold + Max Heart Bundle,Long Run Bundle,First Time Buyer 368 Gold,First Time Buyer 27 Gold,First Time Buyer 88 Gold,Starter Package,Total
05/11/2015,0,0,0,0,0,0,0,0,0,0,0
05/12/2015,0,0,0,0,0,0,0,0,0,0,0
05/13/2015,0,0,0,0,0,0,0,0,0,0,0
05/14/2015,0,0,0,0,0,0,0,0,0,0,0
05/15/2015,0,0,0,0,0,0,0,0,0,0,0
05/16/2015,0,0,0,0,0,0,0,0,0,0,0
05/17/2015,0,0,0,0,0,0,0,0,0,0,0
05/18/2015,0,0,0,0,0,0,0,0,0,0,0
05/19/2015,1,0,0,0,0,0,0,0,0,0,1
05/20/2015,0,0,0,0,0,0,0,1,0,0,1
05/21/2015,0,0,0,0,0,0,0,0,0,0,0
05/22/2015,0,3,1,0,0,0,0,1,0,2,7
05/23/2015,0,0,3,1,0,0,0,1,0,8,13
05/24/2015,0,12,8,0,1,0,1,0,0,9,31
05/25/2015,0,3,0,0,0,1,0,0,1,5,10
05/26/2015,0,14,0,1,0,0,0,0,0,0,15
05/27/2015,1,3,3,0,0,0,0,1,0,1,9
05/28/2015,0,4,3,0,0,0,0,0,1,0,8
05/29/2015,1,5,1,0,0,0,0,1,0,2,10
05/30/2015,0,7,19,0,0,0,0,2,0,2,30
05/31/2015,0,2,8,0,0,0,0,0,0,4,14
06/01/2015,2,7,3,0,1,0,0,0,0,1,14
06/02/2015,1,12,3,0,0,0,0,1,0,0,17
06/03/2015,1,6,8,0,0,0,0,0,1,3,19
06/04/2015,0,7,0,0,0,0,0,0,1,2,10
06/05/2015,1,13,2,0,0,0,0,0,0,2,18
06/06/2015,0,5,8,0,0,0,0,0,0,1,14
06/07/2015,0,9,8,0,0,0,0,0,0,0,17
06/08/2015,0,7,0,0,0,0,0,0,0,2,9
06/09/2015,0,6,3,0,0,0,0,1,0,2,12
06/10/2015,0,2,2,0,0,0,0,1,0,1,6
06/11/2015,0,3,2,0,0,0,0,0,0,0,5
06/12/2015,0,1,2,0,0,0,0,0,0,2,5
06/13/2015,0,5,3,0,0,0,0,0,1,3,12
06/14/2015,0,3,1,0,0,0,0,0,0,0,4
06/15/2015,1,5,3,0,1,0,0,1,0,2,13
06/16/2015,1,4,7,0,0,0,0,0,0,2,14
06/17/2015,0,6,8,0,1,0,0,1,1,0,17
06/18/2015,0,6,2,0,0,0,0,2,1,2,13
06/19/2015,1,6,2,0,0,0,0,1,0,2,12
06/20/2015,0,11,6,0,0,0,0,0,0,2,19
06/21/2015,0,6,7,0,0,0,0,1,1,3,18
06/22/2015,3,0,2,0,0,0,0,0,0,2,7
06/23/2015,0,4,4,0,1,0,0,1,0,1,11
06/24/2015,0,9,2,0,0,0,0,0,0,2,13
06/25/2015,1,4,4,0,0,0,0,1,1,0,11
06/26/2015,1,6,0,0,0,0,0,1,0,1,9
06/27/2015,0,3,0,0,0,0,0,0,0,0,3
06/28/2015,2,2,0,0,0,0,0,0,0,0,4
06/29/2015,0,3,0,0,0,0,0,0,0,2,5
06/30/2015,0,10,0,0,0,0,0,1,0,0,11
07/01/2015,0,0,1,0,0,0,0,0,0,1,2
07/02/2015,0,3,0,0,0,0,0,1,0,1,5
07/03/2015,0,3,0,0,0,0,0,0,0,2,5
07/04/2015,0,2,0,0,0,0,0,0,0,1,3
07/05/2015,0,2,0,0,0,0,0,2,0,1,5
07/06/2015,0,2,0,0,0,0,0,0,0,2,4
07/07/2015,0,2,0,0,0,0,0,1,0,0,3
07/08/2015,0,3,0,1,1,0,0,0,0,2,7
07/09/2015,0,3,0,0,0,0,0,0,0,1,4
07/10/2015,0,1,0,0,0,0,0,0,0,0,1
07/11/2015,1,1,1,0,0,0,0,0,0,1,4
07/12/2015,1,1,1,0,0,0,0,0,0,0,3
07/13/2015,0,1,0,0,0,0,0,0,1,3,5
07/14/2015,0,3,0,0,0,0,0,1,0,1,5
07/15/2015,0,12,1,0,0,0,1,1,0,3,18
07/16/2015,1,5,4,0,0,0,0,1,0,1,12
07/17/2015,1,1,1,0,0,0,0,0,0,0,3
07/18/2015,0,3,1,0,0,0,0,0,0,2,6
07/19/2015,0,0,1,0,0,0,0,1,1,1,4
07/20/2015,0,2,0,0,0,0,0,1,0,1,4
07/21/2015,0,2,1,0,1,0,0,1,0,0,5
07/22/2015,0,0,1,0,0,0,0,0,0,2,3
07/23/2015,0,1,0,0,0,0,0,0,0,1,2
07/24/2015,1,0,0,0,0,0,0,0,0,2,3
07/25/2015,0,3,0,0,0,0,0,0,0,1,4
07/26/2015,1,6,2,0,0,0,0,0,0,0,9
07/27/2015,0,2,3,0,0,0,0,0,0,1,6
07/28/2015,1,1,2,0,0,0,0,1,0,0,5
07/29/2015,0,1,0,0,0,0,0,0,0,1,2
