Report,In App Purchases
Account,Google PlayLab
App,Jungle Cubes
Breakdown,IAP Items
Currency,USD
Countries,All Countries
Data,IAP Units
Start Date,05/11/2015
End Date,09/11/2015
Date Generated,10/12/2015 01:02:33 PDT

Date,Heart Bucket Bundle,210 GOLD BARS,15 GOLD BARS,50 GOLD BARS,560 GOLD BARS,1200 GOLD BARS,Starter Gold Pack,Total
05/11/2015,0,1,25,11,0,0,5,42
05/12/2015,0,4,28,11,0,0,2,45
05/13/2015,0,1,29,16,0,0,2,48
05/14/2015,0,5,27,13,0,0,0,45
05/15/2015,0,7,13,6,0,0,1,27
05/16/2015,0,2,54,20,0,0,3,79
05/17/2015,0,1,32,9,0,0,3,45
05/18/2015,0,2,21,13,0,0,4,40
05/19/2015,0,4,23,10,0,0,2,39
05/20/2015,0,4,23,16,0,0,2,45
05/21/2015,0,1,22,17,1,0,6,47
05/22/2015,0,3,28,27,0,0,1,59
05/23/2015,0,2,28,33,0,0,3,66
05/24/2015,0,3,19,22,0,0,1,45
05/25/2015,0,0,22,20,0,0,1,43
05/26/2015,0,3,17,22,0,0,0,42
05/27/2015,0,0,28,22,0,0,2,52
05/28/2015,0,0,20,10,0,0,1,31
05/29/2015,0,0,19,8,0,0,4,31
05/30/2015,0,1,21,24,0,0,2,48
05/31/2015,0,6,23,16,0,0,1,46
06/01/2015,0,8,13,15,0,0,4,40
06/02/2015,0,3,16,20,0,0,2,41
06/03/2015,0,5,9,12,0,0,2,28
06/04/2015,0,4,10,6,0,0,1,21
06/05/2015,0,5,21,12,0,0,1,39
06/06/2015,0,5,26,16,0,0,0,47
06/07/2015,0,0,17,15,0,0,1,33
06/08/2015,0,2,11,6,0,0,1,20
06/09/2015,0,0,11,19,0,0,1,31
06/10/2015,0,2,12,14,0,0,1,29
06/11/2015,0,2,17,12,0,0,3,34
06/12/2015,0,1,7,5,0,0,6,19
06/13/2015,0,2,14,6,0,0,3,25
06/14/2015,0,3,13,5,0,0,0,21
06/15/2015,0,0,11,11,1,0,4,27
06/16/2015,0,1,8,5,0,0,2,16
06/17/2015,0,0,4,5,0,0,1,10
06/18/2015,0,1,6,2,0,0,1,10
06/19/2015,0,0,9,1,0,0,1,11
06/20/2015,0,0,6,8,0,0,0,14
06/21/2015,0,1,2,3,0,1,1,8
06/22/2015,0,0,5,2,0,0,1,8
06/23/2015,0,0,4,0,0,0,1,5
06/24/2015,0,0,7,3,0,0,0,10
06/25/2015,0,3,7,6,0,0,0,16
06/26/2015,0,2,14,5,0,0,1,22
06/27/2015,0,3,14,8,0,0,6,31
06/28/2015,0,0,5,4,0,0,3,12
06/29/2015,0,0,7,6,0,0,1,14
06/30/2015,0,0,6,4,0,0,0,10
07/01/2015,0,1,13,17,0,0,2,33
07/02/2015,0,5,17,20,0,0,0,42
07/03/2015,0,0,14,12,0,0,2,28
07/04/2015,0,1,18,9,0,0,0,28
07/05/2015,0,6,11,9,0,0,1,27
07/06/2015,0,3,15,9,0,0,1,28
07/07/2015,0,4,14,5,0,0,4,27
07/08/2015,1,4,16,9,0,0,2,32
07/09/2015,0,1,13,2,1,0,2,19
07/10/2015,0,2,13,6,0,0,4,25
07/11/2015,0,2,11,6,0,0,0,19
07/12/2015,0,0,19,6,0,0,1,26
07/13/2015,1,5,8,7,0,0,1,22
07/14/2015,0,2,10,3,0,0,1,16
07/15/2015,0,4,16,10,0,0,2,32
07/16/2015,0,1,11,10,0,0,0,22
07/17/2015,0,1,23,6,0,0,3,33
07/18/2015,0,2,12,12,0,0,2,28
07/19/2015,0,0,14,11,0,0,2,27
07/20/2015,0,2,7,6,0,0,1,16
07/21/2015,0,1,7,19,0,0,1,28
07/22/2015,0,1,7,7,0,0,0,15
07/23/2015,0,0,8,7,0,0,0,15
07/24/2015,0,2,18,7,0,0,1,28
07/25/2015,0,1,10,8,1,0,1,21
07/26/2015,0,1,8,3,2,2,1,17
07/27/2015,0,1,7,4,0,1,1,14
07/28/2015,0,0,7,4,0,1,0,12
07/29/2015,0,1,4,6,0,0,0,11
07/30/2015,0,1,5,5,0,0,0,11
07/31/2015,0,0,15,8,0,0,2,25
08/01/2015,0,1,10,5,0,0,1,17
08/02/2015,0,2,9,4,0,0,1,16
08/03/2015,0,1,11,9,0,0,1,22
08/04/2015,0,0,19,8,0,0,0,27
08/05/2015,0,0,11,7,0,0,0,18
08/06/2015,0,1,14,15,0,0,1,31
08/07/2015,0,0,12,9,0,0,1,22
08/08/2015,1,1,6,4,0,0,3,15
08/09/2015,0,0,7,2,0,0,1,10
08/10/2015,0,0,10,6,0,0,1,17
08/11/2015,0,5,9,5,0,0,0,19
08/12/2015,1,2,7,7,1,0,0,18
08/13/2015,0,5,13,10,1,0,0,29
08/14/2015,0,2,5,8,1,0,0,16
08/15/2015,0,1,13,14,0,0,2,30
08/16/2015,0,3,15,6,0,0,0,24
08/17/2015,0,1,5,11,0,0,3,20
08/18/2015,0,3,9,7,0,0,0,19
08/19/2015,0,0,11,3,0,0,0,14
08/20/2015,0,3,6,5,1,0,3,18
08/21/2015,0,5,4,8,0,0,0,17
08/22/2015,1,2,13,11,0,0,1,28
08/23/2015,0,3,11,10,0,0,3,27
08/24/2015,0,3,8,6,0,0,1,18
08/25/2015,1,1,12,8,1,0,0,23
08/26/2015,0,1,8,5,0,0,1,15
08/27/2015,0,4,5,4,0,0,2,15
08/28/2015,0,0,8,4,0,0,2,14
08/29/2015,0,0,8,7,0,0,2,17
08/30/2015,0,0,13,13,0,0,1,27
08/31/2015,0,1,5,3,0,1,1,11
09/01/2015,0,4,12,7,0,0,0,23
09/02/2015,0,0,8,4,0,0,2,14
